direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,entry_idx,trailing_type,swing_trail_updates,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,last_structure_swing_price,last_structure_swing_idx
LONG,10.608,2.0,,10.246,-1.0,TREND,39.8377,0.0615,40.9988,13.2404,3.5,half,BULLISH_BOS,False,,,0.0600000000000005,,,BOS,False,,10.246,,2023-06-02 15:00:00,2.5,zone,,ABOVE,1.3798075127725673,0.49949031962366947,ATOMUSDT,72,0.6243093922651907,0.3620000000000001,0.6519337016574552,1.1712707182320474,0.6519337016574552,10.844,10.184,10.246,0,1557,R,0,13,2023-06-05 15:00:00,10.246,-0.4994903196236695,stop_loss,SL,,
SHORT,10.18,,9.8746,10.3836,1.5000000000000044,RANGE,21.5526,0.0822,29.192,15.5517,5.0,full,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,10.3836,,,2023-06-06 20:00:00,2.5,,,,4.882051748777521,0.9939857360511022,ATOMUSDT,13,1.3998035363457781,0.20359999999999978,1.5422396856581553,0.0933202357563858,1.5422396856581553,10.199,9.866,10.3836,0,1658,R,0,14,2023-06-07 09:00:00,9.8746,1.4909786040766575,take_profit,TP,,
SHORT,9.4961,1.0,,9.1094,3.0,TREND,31.9659,0.0676,18.8161,33.4038,3.5,half,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 16:00:00,2.5,zone,,BELOW,3.913481466609272,0.5044477610459344,ATOMUSDT,34,4.197827773467813,0.1288999999999998,5.314972847168359,0.2086889061287783,5.314972847168359,9.523,8.811,9.625,0,1702,R,2,15,2023-06-10 02:00:00,9.1094,1.513343283137803,stop_loss,trailing_stop,9.477,1723.0
SHORT,9.42,1.0,,9.3672,0.25756097560975366,TREND,31.9659,0.0676,18.8161,33.4038,3.5,half,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 17:00:00,2.5,zone,,BELOW,3.913481466609272,0.5044477610459344,ATOMUSDT,329,7.902439024390242,0.20500000000000007,11.512195121951217,0.5024390243902426,11.512195121951217,9.523,7.06,9.625,1,1702,R,0,15,2023-06-22 10:00:00,9.3672,0.20663182143696768,stop_loss,trailing_stop,,
SHORT,9.269,1.0,,9.3672,-0.4324086305592261,TREND,31.9659,0.0676,18.8161,33.4038,3.5,half,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-09 07:00:00,2.5,zone,,BELOW,3.913481466609272,0.5044477610459344,ATOMUSDT,315,6.468516072214882,0.22710000000000008,9.726992514310876,0.9158960810215769,9.726992514310876,9.477,7.06,9.625,2,1702,R,1,15,2023-06-22 10:00:00,9.3672,-0.38430388002103166,stop_loss,trailing_stop,9.523,1706.0
LONG,9.3223,1.0,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,full,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,2.5,zone,,ABOVE,5.111261171687031,1.022252234337406,ATOMUSDT,8,0.6263310745401711,0.10330000000000084,1.1781219748305867,1.096805421103579,1.1781219748305867,9.444,9.209,9.219,0,2149,R,0,16,2023-06-27 15:00:00,9.219,-0.5279932790352745,stop_loss,SL,,
LONG,9.288,1.0,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,full,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 14:00:00,2.5,zone,,ABOVE,5.111261171687031,1.022252234337406,ATOMUSDT,1,0.0,0.06900000000000084,0.17391304347826533,1.1449275362318792,0.17391304347826533,9.3,9.209,9.219,1,2149,R,0,16,2023-06-27 15:00:00,9.219,-0.3526770208464094,stop_loss,SL,,
LONG,9.361,,,9.209,-1.0,TREND,39.024,0.0734,21.4981,12.5486,3.0,half,,True,,,0.03599999999999959,,,BOS,True,,9.209,,2023-06-27 22:00:00,2.5,momentum,15.0,ABOVE,3.333702405719021,0.5067227656692946,ATOMUSDT,9,0.3749999999999883,0.15200000000000102,0.4539473684210434,1.493421052631571,0.4539473684210434,9.43,9.134,9.209,0,2164,R,0,17,2023-06-28 07:00:00,9.209,-0.5067227656692946,stop_loss,SL,,
LONG,9.21,2.0,,9.21,0.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,half,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 09:00:00,2.5,zone,,BELOW,5.041891518409482,0.5041891518409481,ATOMUSDT,7,2.2976190476190044,0.0840000000000014,2.619047619047562,0.44047619047619274,2.619047619047562,9.43,9.173,9.126,0,2199,R,0,18,2023-06-29 16:00:00,9.21,0.0,stop_loss,trailing_stop,,
LONG,9.326,2.0,,9.21,-0.5799999999999952,TREND,36.7324,0.0671,23.1097,7.0288,3.5,half,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 10:00:00,2.5,zone,,BELOW,5.041891518409482,0.5041891518409481,ATOMUSDT,6,0.38499999999999773,0.20000000000000107,0.5199999999999932,0.7250000000000029,0.5199999999999932,9.43,9.181,9.126,1,2199,R,0,18,2023-06-29 16:00:00,9.21,-0.5848594161354982,stop_loss,trailing_stop,,
LONG,9.403,2.0,,9.21,-1.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,half,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 11:00:00,2.5,zone,,BELOW,5.041891518409482,0.5041891518409481,ATOMUSDT,5,0.0,0.19299999999999962,0.1398963730569912,1.150259067357522,0.1398963730569912,9.43,9.181,9.126,2,2199,R,0,18,2023-06-29 16:00:00,9.21,-0.9730850630530281,stop_loss,trailing_stop,,
SHORT,9.1022,1.0,,9.405059999999999,-0.9239170225747381,TREND,32.0243,0.0953,18.3658,25.0375,3.5,half,BEARISH_BOS,False,,,0.11800000000000033,,,BOS,False,,,9.43,2023-06-29 20:00:00,2.5,zone,,BELOW,1.5143362704240564,0.4963994294450055,ATOMUSDT,38,0.5253203172666266,0.32779999999999987,1.226967663209276,0.9938987187309368,1.226967663209276,9.428,8.7,9.43,0,2210,structure,1,19,2023-07-01 10:00:00,9.405059999999999,-0.4586318828606282,stop_loss,trailing_stop,9.386,2218.0
