direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,entry_type,candles_since_bos,ema_position,position_size,risk_amount,risk_percent,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
LONG,568.5,576.1071,563.4286,-1.0,RANGE,14.5574,5.0714,17.6056,26.0563,4.0,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,564.4286,,,2024-10-08 00:30:00,1,,,,,0.19828708238627005,1.0055931096137378,1.0,BNBUSDT,5,0.3154947351816087,5.07140000000004,0.5028197341956727,1.2324013093031414,0.5028197341956727,571.05,562.25,563.4286,2024-10-08 05:00:00,563.4286,-1.0055931096137378,stop_loss,SL,15m
SHORT,572.8,,576.45,-0.2943548387096826,TREND,30.0357,4.6571,19.3252,33.0521,4.5,BEARISH_BOS,False,SWEEP_LOW,,14.950000000000045,,,BOS,False,,,585.2,2024-11-01 15:30:00,1,zone,inside_zone,,BELOW,0.08028525633206397,0.9955371785176005,1.0,BNBUSDT,17,0.161290322580644,12.400000000000091,0.43951612903224935,0.34677419354839006,0.43951612903224935,577.1,567.35,585.2,2024-11-02 08:00:00,576.45,-0.2930411856120408,stop_loss,trailing_stop,15m
LONG,629.65,,631.75,0.1390728476821205,TREND,39.6789,5.5321,25.4358,13.428,3.5,,False,SWEEP_HIGH,,9.549999999999955,,,BOS,False,,614.55,,2024-11-10 04:30:00,1,momentum,inside_zone,25.0,ABOVE,0.06573554746102507,0.9926067666614801,1.0,BNBUSDT,15,0.8344370860927155,15.100000000000023,1.0165562913907285,0.46026490066224646,1.0165562913907285,645.0,622.7,614.55,2024-11-10 19:00:00,631.75,0.13804464966815413,stop_loss,trailing_stop,15m
LONG,654.4,,643.55,-0.8369136783320379,TREND,37.4925,12.9643,22.562,11.7906,3.5,BULLISH_BOS,False,,,7.900000000000091,,,BOS,False,,643.55,,2024-11-12 08:30:00,1,zone,inside_zone,,ABOVE,0.0766711055096043,0.9939872131581616,1.0,BNBUSDT,1,0.0,12.96429999999998,0.32782333022222615,1.3845714770562205,0.32782333022222615,658.65,636.45,641.4357,2024-11-12 09:00:00,643.55,-0.8318814947792085,stop_loss,trailing_stop,15m
LONG,620.65,634.42855,611.4643,-1.0,RANGE,22.1513,9.1857,8.126,35.2644,3.0,,False,SWEEP_LOW,,15.950000000000045,,,SWEEP,False,613.4643,,,2024-11-14 23:30:00,1,,,,,0.05365232906639504,0.4928341991051848,0.5,BNBUSDT,5,0.391913517750419,9.185699999999997,0.8872486582405238,1.4587892049598812,0.8872486582405238,628.8,607.25,611.4643,2024-11-15 04:00:00,611.4643,-0.4928341991051848,stop_loss,SL,15m
LONG,649.15,,646.15,-0.14319809069212458,TREND,34.4817,8.2679,28.3801,10.2808,5.0,BULLISH_BOS,True,,,8.299999999999955,,,BOS,True,,628.2,,2024-12-03 00:15:00,1,zone,inside_zone,,ABOVE,0.0702200517579466,1.4711100843289764,1.5,BNBUSDT,12,0.3508353221957063,20.949999999999932,0.6062052505966629,0.2338902147971357,0.6062052505966629,661.85,644.25,628.2,2024-12-03 12:00:00,646.15,-0.2106601552738398,stop_loss,trailing_stop,15m
LONG,1.1975,1.2206,1.1821,-1.0,RANGE,14.9024,0.0154,14.7959,24.2115,5.0,BEARISH_BOS,False,SWEEP_LOW,,0.01750000000000007,,,SWEEP,False,1.1821,,,2024-12-08 06:00:00,1,,,,,4.893167273332896,1.4679501819998688,1.5,ADAUSDT,2,0.3766233766233764,0.01540000000000008,0.6233766233766236,1.1298701298701292,0.6233766233766236,1.2071,1.1801,1.1821,2024-12-08 08:00:00,1.1821,-0.075354776009327,stop_loss,SL,
LONG,51.185,52.1252,50.5582,-1.0,RANGE,18.19,0.6268,13.9031,25.5271,4.0,BEARISH_BOS,False,SWEEP_LOW,,0.6499999999999986,,,SWEEP,False,50.7132,,,2024-12-08 06:30:00,1,,,,,1.561316934694599,0.9786334546665792,1.0,AVAXUSDT,2,0.6700701978302371,0.6268000000000029,0.9412890874281965,1.0051052967453726,0.9412890874281965,51.775,50.555,50.5582,2024-12-08 08:00:00,50.5582,-0.9786334546665791,stop_loss,SL,15m
LONG,1.1805,1.2159,1.1569,1.4999999999999907,RANGE,15.5815,0.0157,16.5683,26.1462,4.0,BEARISH_BOS,False,SWEEP_LOW,,0.025500000000000078,,,SWEEP,False,1.1569,,,2024-12-08 08:00:00,1,,,,,4.840467861799101,0.9680935723598201,1.0,ADAUSDT,3,1.1906779661016829,0.023600000000000065,1.7627118644067687,0.30508474576271505,1.7627118644067687,1.2221,1.1733,1.1569,2024-12-08 11:00:00,1.2159,0.17135256230768756,take_profit,TP,
LONG,1.1743,1.197,1.1592,-1.0,RANGE,19.3412,0.0151,17.9717,28.3019,4.0,BEARISH_BOS,False,SWEEP_LOW,,0.028900000000000148,,,SWEEP,False,1.1592,,,2024-12-09 00:00:00,1,,,,,4.849035489914485,0.969807097982897,1.0,ADAUSDT,3,0.0,0.015099999999999891,0.6225165562914001,1.5761589403973506,0.6225165562914001,1.1837,1.1505,1.1592,2024-12-09 03:00:00,1.1592,-0.07322043589770819,stop_loss,SL,
