direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_price_since_entry,min_price_since_entry,exit_time,exit_price,pnl,exit_reason,mtf_tf
SHORT,9.065,,9.386,-0.8794520547945193,TREND,32.0243,0.0953,18.3658,25.0375,3.5,BEARISH_BOS,False,,,0.11800000000000033,,,BOS,False,,,9.43,2023-06-29 20:00:00,1,zone,,BELOW,4.7973139003811065,1.7510195736391048,ATOMUSDT,15,0.36986301369862934,0.3650000000000002,0.6027397260273938,0.8794520547945193,9.386,8.845,2023-06-30 11:00:00,9.386,-1.5399377620223338,stop_loss,
SHORT,9.307,,9.423,-0.21090909090909069,TREND,30.606,0.0984,7.9826,50.6531,3.5,BEARISH_BOS,False,,,0.1999999999999993,,,BOS,False,,,9.857,2023-07-05 15:00:00,1,zone,,BELOW,3.1360738757904154,1.7248406316847251,ATOMUSDT,14,0.04181818181818133,0.5499999999999989,0.08727272727272752,0.29999999999999905,9.472,9.259,2023-07-06 05:00:00,9.423,-0.3637845695916871,stop_loss,
SHORT,8.992,,9.077,-0.33073929961089177,TREND,32.4789,0.0646,4.8619,42.9834,3.5,BEARISH_BOS,False,,,0.11499999999999844,,,BOS,False,,,9.249,2023-07-12 19:00:00,1,zone,,BELOW,5.054871452946077,1.7186562940016665,ATOMUSDT,14,0.12062256809338763,0.2569999999999997,0.2256809338521466,0.5914396887159511,9.144,8.934,2023-07-13 09:00:00,9.077,-0.4296640735004119,stop_loss,
LONG,9.838,,9.687,-0.7224880382775123,TREND,35.5495,0.1051,26.8525,7.274,4.0,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,1,zone,,ABOVE,5.033388249271057,1.8120197697375806,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,0.6937799043062278,0.7703349282296644,9.983,9.677,2023-07-15 16:00:00,9.687,-0.7600416256399286,stop_loss,
SHORT,9.335,,9.328,0.07291666666668305,TREND,35.2635,0.0597,10.0478,39.7129,4.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 18:00:00,1,momentum,8.0,BELOW,4.995386167989061,1.7983390204760619,ATOMUSDT,11,0.9375000000000335,0.09599999999999831,1.7708333333333823,0.4791666666666686,9.381,9.165,2023-07-23 05:00:00,9.328,0.03496770317593067,stop_loss,
SHORT,8.916,,9.024,-0.2983425414364606,TREND,39.3479,0.0827,9.7582,52.7634,5.0,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-24 09:00:00,1,zone,,BELOW,4.997134553147857,1.998853821259143,ATOMUSDT,17,0.0,0.3620000000000001,0.09944751381215353,0.4309392265193336,9.072,8.88,2023-07-25 02:00:00,9.024,-0.5396905317399624,stop_loss,
SHORT,8.824,,8.822,0.006825938566555156,TREND,35.1411,0.0559,8.4291,32.6948,5.0,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-07-31 19:00:00,1,zone,,BELOW,4.970150026560859,1.9880600106243436,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,0.849829351535835,0.2764505119453899,8.905,8.575,2023-08-01 18:00:00,8.822,0.009940300053125036,stop_loss,
SHORT,8.499,,8.448,0.31288343558282256,TREND,34.7676,0.0589,14.1818,33.0909,5.0,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 18:00:00,1,zone,,BELOW,4.970647041563516,1.988258816625406,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,0.8588957055214745,0.23926380368097938,8.538,8.359,2023-08-05 14:00:00,8.448,0.25350299911974006,stop_loss,
LONG,8.666,,8.548,-1.0,TREND,37.7428,0.047,31.459,9.1185,3.5,BULLISH_BOS,False,,,0.10699999999999932,,,BOS,False,,8.548,,2023-08-09 12:00:00,1,zone,,ABOVE,4.983322191519503,1.694329545116631,ATOMUSDT,2,0.0,0.11800000000000033,0.03389830508474193,1.0254237288135601,8.67,8.545,2023-08-09 14:00:00,8.548,-0.588032018599303,stop_loss,
SHORT,8.433,,8.49,-0.48305084745762905,TREND,31.2661,0.0437,9.4771,33.1699,3.5,,False,SWEEP_LOW,,0.07699999999999996,,,BOS,False,,,8.551,2023-08-10 06:00:00,1,momentum,9.0,BELOW,4.953920590589537,1.6843330008004427,ATOMUSDT,6,0.0,0.11800000000000033,0.11016949152542257,0.677966101694914,8.513,8.42,2023-08-10 12:00:00,8.49,-0.28237347366360555,stop_loss,
