direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,zone_entry_type,htf_filter_variant,htf_filter_applied,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,capital_before_entry,trade_risk,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,10.369,1.0,0.136554,,10.259,0.14157014157014064,TREND,30.3594,0.1821,7.1793,39.0349,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,0.13899999999999935,,,BOS,False,,,11.146,2022-01-30 21:30:00,2.5,zone,full,NONE,False,zone,,BELOW,0.6452440600634198,0.5013546346692779,100.27092693385558,0.5013546346692779,NEARUSDT,10,0.3320463320463305,0.777000000000001,0.44530244530244484,0.21750321750321783,0.44530244530244484,10.538,10.023,11.146,0,20,2022-01-31 07:00:00,10.259,0.07097684660697581,stop_loss,trailing_stop,15m
SHORT,19.71,,0.213214,,19.38,0.30841121495327267,TREND,33.8633,0.2843,9.2965,40.201,4.0,4_to_5,1.0,BEARISH_BOS,True,,,0.3099999999999987,,,BOS,True,,,20.78,2022-01-30 20:15:00,2.5,momentum,momentum,NONE,False,momentum,,ABOVE,0.9371114666715472,1.0027092693385558,100.27092693385558,1.0027092693385558,FILUSDT,13,0.5514018691588782,1.0700000000000003,0.7383177570093448,0.3271028037383157,0.7383177570093448,20.06,18.92,20.78,0,19,2022-01-31 09:00:00,19.38,0.3092467840016123,stop_loss,trailing_stop,15m
SHORT,2465.05,1.0,38.196429,,2804.5,-1.0,TREND,36.0235,50.9286,19.3128,40.1262,3.5,3_to_4,0.5,BEARISH_BOS,False,SWEEP_LOW,,88.20000000000027,,,BOS,False,,,3272.0,2022-01-22 13:00:00,2.5,zone,full,NONE,False,zone,,BELOW,0.002001843863539328,0.489550916828543,97.9101833657086,0.489550916828543,ETHUSDT,241,0.835027249963177,339.4499999999998,0.9133893062306683,1.0210634850493447,0.9133893062306683,2811.65,2155.0,3272.0,1,11,2022-02-01 14:00:00,2804.5,-0.6795258994784245,stop_loss,trailing_stop,15m
SHORT,285.45,,,278.55,290.05,-1.0,RANGE,20.0686,2.4357,34.6041,14.0762,4.0,4_to_5,1.0,,False,SWEEP_HIGH,,1.4499999999999886,,,SWEEP,False,290.05,,,2022-02-01 09:00:00,2.5,zone,,NONE,False,,,,0.21880684905318193,1.0065115056446419,100.65115056446417,1.0065115056446419,BCHUSDT,21,0.282608695652175,4.600000000000023,0.7282608695652064,1.086956521739125,0.7282608695652064,290.45,282.1,290.05,0,21,2022-02-02 06:00:00,290.05,-1.0065115056446419,stop_loss,SL,
LONG,11.791,,0.188679,,11.295,-0.6729986431478974,TREND,30.3032,0.2516,34.5826,14.8211,4.0,4_to_5,1.0,,True,SWEEP_HIGH,,0.3730000000000011,,,BOS,True,,11.054,,2022-02-02 18:15:00,2.5,momentum,,NONE,False,momentum,2.0,ABOVE,1.3428102192583597,0.9896511315934112,98.96511315934112,0.9896511315934112,NEARUSDT,3,0.0,0.7370000000000001,0.1506105834464028,0.9620081411126181,0.1506105834464028,11.902,11.082,11.054,0,22,2022-02-02 21:00:00,11.295,-0.666033868752147,stop_loss,trailing_stop,15m
SHORT,155.95,,2.051786,,153.25,0.362416107382548,TREND,37.7016,2.7357,14.8825,39.1645,3.0,3_to_4,0.5,,True,,,1.9499999999999886,,,BOS,True,,,163.4,2022-02-02 22:00:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,0.06597253643663674,0.4914953964529448,98.29907929058896,0.4914953964529448,AAVEUSDT,2,0.6375838926174482,7.450000000000017,0.7449664429530162,0.0,0.7449664429530162,155.95,150.4,163.4,0,23,2022-02-03 00:00:00,153.25,0.17812584837891846,stop_loss,trailing_stop,
SHORT,15.959,,0.214607,,15.69,0.1903750884642605,TREND,33.5425,0.2861,11.5577,48.003,3.0,3_to_4,0.5,,True,,,0.17600000000000193,,,BOS,True,,,17.372,2022-02-02 22:30:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,0.3478382140502086,0.4914953964529448,98.29907929058896,0.4914953964529448,LINKUSDT,15,0.3941967445152161,1.4130000000000003,0.5038924274593062,0.01486199575371606,0.5038924274593062,15.98,15.247,17.372,0,25,2022-02-03 13:00:00,15.69,0.09356847957950616,stop_loss,trailing_stop,15m
SHORT,37157.0,,267.133929,,36755.5,0.25894872621734927,TREND,37.5822,356.1786,10.6488,46.0543,3.0,3_to_4,0.5,,True,,,234.5,,,BOS,True,,,38707.5,2022-02-02 22:30:00,2.5,momentum,,NONE,False,momentum,3.0,BELOW,0.0003169915488248596,0.4914953964529448,98.29907929058896,0.4914953964529448,BTCUSDT,17,0.509513060303128,1550.5,0.6168977749113189,0.0,0.6168977749113189,37157.0,36200.5,38707.5,0,24,2022-02-03 15:00:00,36755.5,0.12727210685318113,stop_loss,trailing_stop,15m
SHORT,67.34,3.0,1.048125,,67.63,-0.058232931726906155,TREND,39.1778,1.3975,12.8546,24.4314,3.5,3_to_4,0.5,,False,SWEEP_LOW,,0.6650000000000063,,,BOS,False,,,72.32,2022-02-03 06:30:00,2.5,momentum,full,NONE,False,momentum,3.0,BELOW,0.09887269592265872,0.4923860256948394,98.47720513896788,0.4923860256948394,AVAXUSDT,9,0.35542168674699076,4.97999999999999,0.472891566265062,0.2791164658634545,0.472891566265062,68.73,64.985,72.32,0,26,2022-02-03 15:00:00,67.63,-0.028673081817570244,stop_loss,trailing_stop,15m
SHORT,2632.85,1.0,24.361607,,2620.4,0.25202429149797156,TREND,31.4818,32.4821,15.9868,23.7493,3.5,3_to_4,0.5,BEARISH_BOS,False,,,45.40000000000009,,,BOS,False,,,2682.25,2022-02-03 16:30:00,2.5,zone,full,NONE,False,zone,,BELOW,0.009986778607650081,0.49334686321791493,98.66937264358299,0.49334686321791493,ETHUSDT,1,0.11943319838056843,49.40000000000009,0.6447368421052602,0.0,0.6447368421052602,2632.85,2601.0,2682.25,0,27,2022-02-03 17:00:00,2620.4,0.1243353936652417,stop_loss,trailing_stop,15m
LONG,105.71,1.0,1.497054,,108.675,0.29739217652958916,TREND,35.8657,1.9961,39.2199,10.1807,4.0,4_to_5,1.0,BULLISH_BOS,True,,,2.684999999999988,,,BOS,True,,95.74,,2022-02-04 06:30:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.09909098098018881,0.9879370803724824,98.79370803724824,0.9879370803724824,SOLUSDT,12,0.3896690070210638,9.969999999999999,0.5656970912738216,0.41925777331995917,0.5656970912738216,111.35,101.53,95.74,0,29,2022-02-04 18:00:00,108.675,0.29380475860626015,stop_loss,trailing_stop,15m
LONG,2791.4,3.0,28.376786,,2940.1,0.6903435468895067,TREND,34.4011,37.8357,45.3559,10.9024,4.0,4_to_5,1.0,,True,,,22.0,,,BOS,True,,2576.0,,2022-02-04 06:30:00,2.5,momentum,full,NONE,False,momentum,3.0,ABOVE,0.0045865231215064155,0.9879370803724824,98.79370803724824,0.9879370803724824,ETHUSDT,13,0.7683379758588669,215.4000000000001,0.8653667595171775,0.15645311049210892,0.8653667595171775,2977.8,2757.7,2576.0,0,28,2022-02-04 19:00:00,2940.1,0.6820159881680031,stop_loss,trailing_stop,15m
LONG,71.43,1.0,0.820714,,78.285,1.8231382978723352,TREND,36.153,1.0943,42.0692,9.0731,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,2.075000000000003,,,BOS,True,,67.67,,2022-02-04 09:30:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.3284365293791493,1.2349213504656031,98.79370803724824,1.2349213504656031,AVAXUSDT,27,2.2859042553191453,3.760000000000005,2.5146276595744643,0.4773936170212764,2.5146276595744643,80.885,69.635,67.67,0,30,2022-02-05 12:00:00,78.285,2.251432408894065,stop_loss,trailing_stop,15m
LONG,1.1021,,0.01163,,1.1151,0.2280701754385941,TREND,34.4966,0.0155,41.5477,11.8839,4.0,4_to_5,1.0,,True,,,0.013500000000000068,,,BOS,True,,1.0451,,2022-02-04 23:00:00,2.5,momentum,,NONE,False,momentum,3.0,ABOVE,4.988476439201126,0.997695287840225,99.7695287840225,0.997695287840225,ADAUSDT,17,1.1017543859649086,0.05700000000000016,1.315789473684206,0.0,1.315789473684206,1.1771,1.1021,1.0451,0,31,2022-02-05 16:00:00,1.1151,0.06485019370961413,stop_loss,trailing_stop,
LONG,76.13,1.0,0.820714,,76.45,0.29906542056075647,TREND,36.153,1.0943,42.0692,9.0731,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,2.075000000000003,,,BOS,True,,67.67,,2022-02-04 18:00:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.3284365293791493,1.2349213504656031,98.79370803724824,1.2349213504656031,AVAXUSDT,22,3.6401869158878832,1.0699999999999932,4.443925233644897,0.677570093457943,4.443925233644897,80.885,75.405,67.67,1,30,2022-02-05 16:00:00,76.45,0.1050996894013302,stop_loss,trailing_stop,15m
LONG,22.16,1.0,0.241607,,22.34,0.1285714285714285,TREND,38.6961,0.3221,34.0355,6.9845,4.0,4_to_5,1.0,BULLISH_BOS,True,,,0.620000000000001,,,BOS,True,,20.76,,2022-02-07 04:30:00,2.5,zone,full,NONE,False,zone,,ABOVE,0.729935079114483,1.0219091107602751,102.1909110760275,1.0219091107602751,DOTUSDT,14,0.3321428571428574,1.3999999999999986,0.3714285714285715,0.36428571428571577,0.3714285714285715,22.68,21.65,20.76,0,33,2022-02-07 18:00:00,22.34,0.13138831424060674,stop_loss,trailing_stop,15m
