direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
SHORT,3861.18,,3912.12,-1.0,TREND,36.6348,28.3271,16.201,23.4177,4,BEARISH_BOS,True,,,53.960000000000036,,,BOS,True,,,3912.12,2024-12-15 07:15:00,0.0447163367033814,2.2778501916702507,ETHUSDT,9,0.022968197879851132,50.940000000000055,2024-12-15 16:00:00,3912.12,-2.2778501916702507,stop_loss,BELOW
SHORT,0.403,0.3871,0.411,-1.0,RANGE,16.2695,0.0037,19.479,15.6493,5,BULLISH_BOS,False,SWEEP_HIGH,,0.0026800000000000157,,,SWEEP,False,0.411,,,2024-12-15 15:00:00,6.314865125460077,2.5259460501840305,DOGEUSDT,8,0.6350000000000074,0.007999999999999952,2024-12-15 23:00:00,0.411,-0.050518921003680314,stop_loss,
SHORT,7.532,,7.896,-0.892156862745097,TREND,30.1294,0.1106,13.9445,32.7308,3,BEARISH_BOS,True,,,0.19500000000000028,,,BOS,True,,,7.94,2024-12-14 13:00:00,4.996685425271791,2.0386476535108926,AXSUSDT,35,0.41421568627450844,0.40800000000000036,2024-12-16 00:00:00,7.896,-1.8187934947989315,stop_loss,BELOW
SHORT,6.804,6.465,6.9401,-1.0,RANGE,11.9839,0.0878,27.1766,19.3653,5,BULLISH_BOS,False,SWEEP_HIGH,,0.07099999999999973,,,SWEEP,False,6.9401,,,2024-12-15 15:00:00,6.314865125460077,2.5259460501840305,NEARUSDT,9,1.4621601763409258,0.1360999999999999,2024-12-16 00:00:00,6.9401,-0.8594531435751158,stop_loss,
LONG,2.5751,,2.5778,0.023684210526315155,TREND,37.1625,0.0351,35.9959,13.8415,4,BULLISH_BOS,True,,,0.031200000000000117,,,BOS,True,,2.4611,,2024-12-17 09:30:00,6.064534337907678,2.1832323616467644,XRPUSDT,13,1.2324561403508771,0.11399999999999988,2024-12-17 22:00:00,2.5778,0.016374242712350273,stop_loss,ABOVE
SHORT,484.8,,484.3,0.011709601873536302,TREND,37.8422,10.3357,10.6427,46.1645,4,BEARISH_BOS,True,,,41.5,,,BOS,True,,,527.5,2024-12-18 20:00:00,0.051136465995681196,2.1835270980155865,BCHUSDT,14,0.30679156908665167,42.69999999999999,2024-12-19 10:00:00,484.3,0.025568232997840598,stop_loss,BELOW
SHORT,0.2573,,0.27178,-0.501038062283738,TREND,33.451,0.0099,14.7145,23.2388,4,BEARISH_BOS,True,,,0.009409999999999974,,,BOS,True,,,0.2862,2024-12-20 09:00:00,6.066631461693188,2.1839873262095475,HBARUSDT,10,0.7854671280276796,0.028900000000000037,2024-12-20 19:00:00,0.27178,-0.08784482356531766,stop_loss,BELOW
SHORT,6.485,,7.267,-0.9961783439490456,TREND,38.7428,0.2052,13.505,36.1991,4,BEARISH_BOS,True,,,0.1900000000000004,,,BOS,True,,,7.27,2024-12-20 09:30:00,2.7821494601395536,2.1839873262095475,DOTUSDT,13,0.5261146496815294,0.7849999999999993,2024-12-20 22:00:00,7.267,-2.1756408778291307,stop_loss,BELOW
SHORT,2.1737,,2.2967,-0.7950872656755015,TREND,38.0957,0.0642,17.0911,29.5897,4,BEARISH_BOS,True,,,0.1176999999999997,,,BOS,True,,,2.3284,2024-12-20 09:30:00,6.066631461693188,2.1839873262095475,XRPUSDT,17,1.3380736910148727,0.15469999999999962,2024-12-21 02:00:00,2.2967,-0.7461956697882607,stop_loss,BELOW
SHORT,14.21,13.474,14.3308,-1.0,RANGE,19.4535,0.4026,19.4287,25.1597,4,BULLISH_BOS,False,SWEEP_HIGH,,0.6990000000000016,,,SWEEP,False,14.3308,,,2024-12-23 03:00:00,5.916147393134052,2.129813061528259,UNIUSDT,1,0.8195364238410672,0.12079999999999913,2024-12-23 04:00:00,14.3308,-0.7146706050905883,stop_loss,
SHORT,7.085,6.65,7.1297,-1.0,RANGE,13.7467,0.1489,31.0791,14.964,4,BULLISH_BOS,False,SWEEP_HIGH,,0.2839999999999998,,,SWEEP,False,7.1297,,,2024-12-23 16:45:00,5.880413862879522,2.116948990636628,DOTUSDT,4,3.0648769574944152,0.04469999999999974,2024-12-23 20:00:00,7.1297,-0.2628544996707131,stop_loss,
SHORT,0.3222,0.3027,0.3241,-1.0,RANGE,15.1709,0.0063,26.6994,15.0234,4,BULLISH_BOS,False,SWEEP_HIGH,,0.009330000000000005,,,SWEEP,False,0.3241,,,2024-12-23 20:00:00,5.867271137895987,2.1122176096425553,DOGEUSDT,1,0.326315789473687,0.0019000000000000128,2024-12-23 21:00:00,0.3241,-0.01114781516200245,stop_loss,
