direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,17.07,1.0,0.329679,,17.568,-0.47428571428571503,TREND,38.5094,0.4396,9.6198,34.7091,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.5289999999999999,,,BOS,True,,,18.12,2022-01-18 14:30:00,2.5,zone,1.1360099655238047,1.1928104637999957,NEARUSDT,24,0.43999999999999945,1.0500000000000007,0.6580952380952366,0.8599999999999982,0.6580952380952366,17.973,16.379,18.12,0,27,2022-01-19 14:00:00,17.568,-0.5657329628308561,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,470.5,3.0,2.498214,,472.5,-0.22988505747126467,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.5,,,BOS,True,,,479.2,2022-01-18 04:30:00,2.5,momentum,0.11077232202894885,0.9637192016518538,BNBUSDT,50,1.689655172413794,8.699999999999989,1.9367816091954075,0.8390804597701174,1.9367816091954075,477.8,453.65,479.2,0,25,2022-01-20 06:00:00,472.5,-0.2215446440578977,stop_loss,trailing_stop,momentum,12.0,BELOW,15m
SHORT,22.62,1.0,0.099589,,21.973,0.5355960264900687,TREND,39.7444,0.3984,9.9874,40.2546,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.6430000000000007,,,BOS,False,,,23.828,2022-01-18 14:30:00,2.5,zone,0.3949703522516547,0.47712418551999825,LINKUSDT,40,0.980132450331128,1.2079999999999984,1.15562913907285,0.5985099337748344,1.15562913907285,23.343,21.224,23.828,0,26,2022-01-20 06:00:00,21.973,0.2555458179068214,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,464.6,3.0,2.498214,,472.5,-0.7247706422018343,TREND,35.9187,4.9964,15.4396,22.2302,4.0,4_to_5,1.0,,True,,,3.5,,,BOS,True,,,479.2,2022-01-18 08:00:00,2.5,momentum,0.11077232202894885,0.9637192016518538,BNBUSDT,46,0.8073394495412871,10.899999999999977,1.004587155963309,1.211009174311928,1.004587155963309,477.8,453.65,479.2,1,25,2022-01-20 06:00:00,472.5,-0.8751013440286934,stop_loss,trailing_stop,momentum,12.0,BELOW,15m
LONG,1.3729,2.0,0.016827,,1.3768,0.10626702997275257,TREND,33.4015,0.0224,33.2697,10.2833,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,0.03859999999999997,,,BOS,True,,1.3362,,2022-01-20 14:00:00,2.5,zone,4.700900198549451,1.1752250496373629,ADAUSDT,6,0.9100817438692136,0.036699999999999955,1.435967302452317,0.48228882833787656,1.435967302452317,1.4256,1.3552,1.3362,0,29,2022-01-20 20:00:00,1.3768,0.018333510774342927,stop_loss,trailing_stop,zone,,ABOVE,
LONG,38.8772,1.0,0.172232,,38.945,0.02693468933735827,TREND,37.6163,0.6889,30.1192,7.5168,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.980000000000004,,,BOS,False,,36.36,,2022-01-20 06:00:00,2.5,zone,0.18675115996144315,0.47009001985494514,ATOMUSDT,15,1.1273637374860952,2.5172000000000025,1.2664071190211317,0.19950738916256217,1.2664071190211317,42.065,38.375,36.36,0,28,2022-01-20 21:00:00,38.945,0.012661728645385529,stop_loss,trailing_stop,zone,,ABOVE,
LONG,0.2784,1.0,0.003126,,0.2671,-1.0,TREND,39.6038,0.0042,36.5039,18.2519,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.008299999999999974,,,BOS,True,,0.2671,,2022-01-20 14:30:00,2.5,zone,4.700900198549451,1.1752250496373629,HBARUSDT,7,0.11504424778761292,0.011299999999999977,0.3407079646017724,1.0353982300884967,0.3407079646017724,0.28225,0.2667,0.2671,0,30,2022-01-20 21:00:00,0.2671,-0.05312017224360869,stop_loss,SL,zone,,ABOVE,15m
SHORT,21.493,1.0,0.094929,,19.713,1.2117086453369612,TREND,39.164,0.3797,16.7419,38.9014,3.5,3_to_4,0.5,BEARISH_BOS,False,,,1.3620000000000019,,,BOS,False,,,22.962,2022-01-20 21:30:00,2.5,zone,0.3199315147657082,0.4699793951908257,LINKUSDT,18,1.8025867937372346,1.4690000000000012,2.1524846834581326,0.0,2.1524846834581326,21.493,18.331,22.962,0,37,2022-01-21 15:00:00,19.713,0.5694780962829598,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,41769.5,1.0,311.946429,,35901.0,3.6427684667908133,TREND,38.962,415.9286,30.6715,36.519,5.0,5_plus,1.25,BEARISH_BOS,True,,,1508.5,,,BOS,True,,,43380.5,2022-01-20 21:30:00,2.5,zone,0.0007293286703768246,1.1749484879770644,BTCUSDT,40,4.3271260086902545,1611.0,4.847610180012414,0.0,4.847610180012414,41769.5,33960.0,43380.5,0,33,2022-01-22 13:00:00,35901.0,4.2800653021063955,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,16.24,1.0,0.272786,,11.872,3.3860465116278986,TREND,31.957,0.3637,19.5405,36.8028,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.0630000000000006,,,BOS,True,,,17.53,2022-01-20 21:30:00,2.5,zone,0.9108127813775674,1.1749484879770644,NEARUSDT,47,4.306201550387586,1.2900000000000027,4.778294573643399,0.0,4.778294573643399,16.24,10.076,17.53,0,38,2022-01-22 20:00:00,11.872,3.978430229057213,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,368.6982,1.0,2.501786,,296.65,4.7394519070110155,TREND,35.0024,3.3357,24.8394,36.7238,5.0,5_plus,1.25,BEARISH_BOS,True,,,10.5,,,BOS,True,,,383.9,2022-01-20 21:00:00,2.5,zone,0.0772900898562713,1.1749484879770644,BCHUSDT,51,5.9333894670368,15.201799999999992,6.818153113447094,0.0,6.818153113447094,368.6982,265.05,383.9,0,32,2022-01-23 00:00:00,296.65,5.568611851982606,stop_loss,trailing_stop,zone,,BELOW,
SHORT,0.1621,1.0,0.001591,,0.1349,3.777777777777772,TREND,35.1642,0.0021,17.5084,43.4343,5.0,5_plus,1.25,BEARISH_BOS,True,,,0.008599999999999997,,,BOS,True,,,0.1693,2022-01-20 21:00:00,2.5,zone,4.699793951908258,1.1749484879770644,DOGEUSDT,51,4.999999999999992,0.007200000000000012,5.874999999999989,0.0,5.874999999999989,0.1621,0.1198,0.1693,0,34,2022-01-23 00:00:00,0.1349,0.12783439549190462,stop_loss,trailing_stop,zone,,BELOW,
SHORT,83.01,1.0,0.866786,,61.285,4.637139807897559,TREND,36.8928,1.1557,20.3028,41.78,5.0,5_plus,1.25,BEARISH_BOS,True,,,4.465000000000003,,,BOS,True,,,87.695,2022-01-20 21:30:00,2.5,zone,0.2507894317987337,1.1749484879770644,AVAXUSDT,51,5.922091782283901,4.684999999999988,6.472785485592333,0.0,6.472785485592333,83.01,52.685,87.695,0,31,2022-01-23 00:00:00,61.285,5.448400405827492,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,3126.4,1.0,28.944643,,2462.6,4.559065934065938,TREND,32.7355,38.5929,25.4858,37.8956,5.0,5_plus,1.25,BEARISH_BOS,True,,,137.5,,,BOS,True,,,3272.0,2022-01-20 21:30:00,2.5,zone,0.008069701153688635,1.1749484879770644,ETHUSDT,56,5.475618131868135,145.5999999999999,5.703296703296708,0.0,5.703296703296708,3126.4,2296.0,3272.0,0,36,2022-01-23 05:00:00,2462.6,5.356667625818518,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,23.86,1.0,0.272411,,18.89,2.881159420289852,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-20 21:30:00,2.5,zone,0.681129558247573,1.1749484879770644,DOTUSDT,60,3.9507246376811547,1.7250000000000014,4.539130434782604,0.0,4.539130434782604,23.86,16.03,25.585,0,35,2022-01-23 09:00:00,18.89,3.385213904490437,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,18.835,1.0,0.272411,,18.89,-0.6111111111111089,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-23 00:00:00,2.5,zone,0.681129558247573,1.1749484879770644,DOTUSDT,9,8.50000000000002,0.08999999999999986,10.38888888888893,3.6666666666666536,10.38888888888893,19.165,17.9,25.585,1,35,2022-01-23 09:00:00,18.89,-0.037462125703616324,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,18.39,1.0,0.272411,,18.89,-1.0,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-23 05:00:00,2.5,zone,0.681129558247573,1.1749484879770644,DOTUSDT,4,0.1600000000000037,0.5,0.37000000000000455,1.5499999999999972,0.37000000000000455,19.165,18.205,25.585,2,35,2022-01-23 09:00:00,18.89,-0.3405647791237865,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,0.2137,3.0,0.001146,,0.2052,1.0,TREND,31.5096,0.0046,12.6267,29.9299,3.0,3_to_4,0.5,,True,,,0.003500000000000003,,,BOS,True,,,0.2222,2022-01-24 02:30:00,2.5,momentum,6.116627697219764,0.6116627697219764,HBARUSDT,18,3.1058823529411743,0.008500000000000008,3.2529411764705864,0.011764705882351635,3.2529411764705864,0.2138,0.18605,0.2222,0,39,2022-01-24 20:00:00,0.2052,0.05199133542636804,stop_loss,trailing_stop,momentum,7.0,BELOW,15m
