time,symbol,direction,signal_type,selected_tf,status,entry
2022-02-12 22:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-12 22:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2875.2
2022-02-13 19:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-02-13 19:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,77.86
2022-02-13 23:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-13 23:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,159.55
2022-02-13 23:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-02-13 23:00:00,BNBUSDT,SHORT,BOS,30m,accepted,400.1
2022-02-13 23:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-13 23:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2902.0
2022-02-13 23:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-13 23:00:00,LINKUSDT,SHORT,BOS,30m,accepted,15.883
2022-02-14 01:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-14 01:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,156.9
2022-02-14 02:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-14 02:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-14 02:00:00,NEARUSDT,SHORT,BOS,30m,accepted,10.135
2022-02-14 05:00:00,FILUSDT,SHORT,BOS,15m,candidate,
2022-02-14 05:00:00,FILUSDT,SHORT,BOS,15m,accepted,20.18
2022-02-15 02:00:00,BCHUSDT,LONG,BOS,30m,candidate,
2022-02-15 02:00:00,BCHUSDT,LONG,BOS,30m,accepted,337.4
2022-02-15 08:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-02-15 08:00:00,AVAXUSDT,LONG,BOS,30m,accepted,85.04
2022-02-15 09:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-02-15 09:00:00,AVAXUSDT,LONG,BOS,30m,accepted,86.115
2022-02-15 10:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-02-15 10:00:00,AVAXUSDT,LONG,BOS,30m,accepted,87.36
2022-02-15 12:00:00,ETHUSDT,LONG,BOS,30m,candidate,
2022-02-15 12:00:00,ETHUSDT,LONG,BOS,30m,accepted,3092.4
2022-02-15 13:00:00,ETHUSDT,LONG,BOS,30m,candidate,
2022-02-15 13:00:00,ETHUSDT,LONG,BOS,30m,accepted,3104.6
2022-02-16 00:00:00,XRPUSDT,LONG,BOS,30m,candidate,
2022-02-17 14:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-17 14:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,161.65
2022-02-17 14:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-17 14:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-02-17 14:00:00,BCHUSDT,SHORT,BOS,30m,accepted,324.15
2022-02-17 14:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-17 14:00:00,LINKUSDT,SHORT,BOS,30m,accepted,16.261
2022-02-17 14:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-02-17 15:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-17 15:00:00,ADAUSDT,SHORT,BOS,30m,accepted,1.0459
2022-02-17 18:00:00,LTCUSDT,SHORT,BOS,30m,candidate,
2022-02-17 18:00:00,LTCUSDT,SHORT,BOS,30m,accepted,121.45
2022-02-17 19:00:00,DOGEUSDT,SHORT,BOS,15m,candidate,
2022-02-17 19:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-17 19:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2919.1
2022-02-17 19:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-02-17 19:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.24025
2022-02-17 19:00:00,LTCUSDT,SHORT,BOS,30m,candidate,
2022-02-17 19:00:00,LTCUSDT,SHORT,BOS,30m,accepted,119.05
2022-02-18 12:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-18 12:00:00,ADAUSDT,SHORT,BOS,30m,accepted,1.0192
2022-02-18 15:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-18 15:00:00,LINKUSDT,SHORT,BOS,30m,accepted,15.538
2022-02-18 16:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-18 16:00:00,LINKUSDT,SHORT,BOS,30m,accepted,15.209
2022-02-18 22:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-19 12:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-19 12:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,142.95
2022-02-19 12:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-19 12:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2721.05
2022-02-20 04:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-20 06:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-20 06:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-02-20 06:00:00,BNBUSDT,SHORT,BOS,30m,accepted,381.7
2022-02-20 06:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-20 07:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-20 08:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-20 08:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,138.7
2022-02-20 08:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-20 08:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-02-20 08:00:00,BNBUSDT,SHORT,BOS,30m,accepted,381.35
2022-02-20 08:00:00,DOGEUSDT,SHORT,BOS,15m,candidate,
2022-02-20 08:00:00,DOTUSDT,SHORT,BOS,30m,candidate,
2022-02-20 08:00:00,DOTUSDT,SHORT,BOS,30m,accepted,16.99
2022-02-20 08:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-20 08:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2653.25
2022-02-20 08:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-20 08:00:00,LINKUSDT,SHORT,BOS,30m,accepted,14.739
2022-02-20 08:00:00,LTCUSDT,SHORT,BOS,30m,candidate,
2022-02-20 08:00:00,LTCUSDT,SHORT,BOS,30m,accepted,110.33
2022-02-20 08:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-20 09:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-20 09:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,135.85
2022-02-20 09:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-20 09:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.9287
2022-02-20 09:00:00,BTCUSDT,SHORT,BOS,30m,candidate,
2022-02-20 09:00:00,BTCUSDT,SHORT,BOS,30m,accepted,38132.5
2022-02-20 09:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-20 09:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2605.25
2022-02-20 09:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-20 12:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-02-20 12:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,79.68
