direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,8.824,,8.822,0.006825938566555156,TREND,35.1411,0.0559,8.4291,32.6948,5.0,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-07-31 19:00:00,1,zone,,BELOW,5.154628702643439,2.0618514810573756,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,0.849829351535835,0.2764505119453899,0.849829351535835,8.905,8.575,9.117,2023-08-01 18:00:00,8.822,0.010309257405290321,stop_loss,trailing_stop,
SHORT,8.499,,8.448,0.31288343558282256,TREND,34.7676,0.0589,14.1818,33.0909,5.0,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 18:00:00,1,zone,,BELOW,5.155144165513704,2.0620576662054817,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,0.8588957055214745,0.23926380368097938,0.8588957055214745,8.538,8.359,8.662,2023-08-05 14:00:00,8.448,0.2629123524411997,stop_loss,trailing_stop,
LONG,8.666,,8.548,-1.0,TREND,37.7428,0.047,31.459,9.1185,3.5,BULLISH_BOS,False,,,0.10699999999999932,,,BOS,False,,8.548,,2023-08-09 12:00:00,1,zone,,ABOVE,5.168289783135765,1.75721852626616,ATOMUSDT,2,0.0,0.11800000000000033,0.03389830508474193,1.0254237288135601,0.03389830508474193,8.67,8.545,8.548,2023-08-09 14:00:00,8.548,-0.609858194410022,stop_loss,SL,
SHORT,8.433,,8.49,-0.48305084745762905,TREND,31.2661,0.0437,9.4771,33.1699,3.5,,False,SWEEP_LOW,,0.07699999999999996,,,BOS,False,,,8.551,2023-08-10 06:00:00,1,momentum,9.0,BELOW,5.1377968734152635,1.7468509369611895,ATOMUSDT,6,0.0,0.11800000000000033,0.11016949152542257,0.677966101694914,0.11016949152542257,8.513,8.42,8.551,2023-08-10 12:00:00,8.49,-0.29285442178467197,stop_loss,trailing_stop,
SHORT,8.45,8.417,8.472,1.4999999999999596,RANGE,17.0534,0.022,33.1169,11.039,4.0,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.472,,,2023-08-13 20:00:00,1,,,,5.12315415232603,1.844335494837371,ATOMUSDT,1,0.7727272727272397,0.02200000000000024,2.2272727272726796,0.36363636363640034,2.2272727272726796,8.458,8.401,8.472,2023-08-13 21:00:00,8.417,0.16906408702675632,take_profit,TP,
SHORT,6.866,6.807,6.9054,-1.0,RANGE,17.1148,0.0394,25.4083,25.4083,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.06199999999999939,,,SWEEP,False,6.9054,,,2023-09-04 02:00:00,1,,,,5.1316073566773674,1.8473786484038526,ATOMUSDT,1,0.12690355329948794,0.039400000000000546,0.15228426395937197,1.319796954314715,0.15228426395937197,6.918,6.86,6.9054,2023-09-04 03:00:00,6.9054,-0.20218532985309107,stop_loss,SL,
LONG,6.928,,6.907,-0.08860759493670843,TREND,34.4966,0.0609,27.23,10.2113,5.0,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,,6.691,,2023-09-07 01:00:00,1,zone,,ABOVE,5.121498090184713,2.048599236073885,ATOMUSDT,32,0.223628691983122,0.2370000000000001,0.2869198312236307,0.5316455696202543,0.2869198312236307,6.996,6.802,6.691,2023-09-08 09:00:00,6.907,-0.1075514598938785,stop_loss,trailing_stop,
LONG,6.651,,6.799,1.2131147540983664,TREND,33.6986,0.0415,23.2358,13.7694,3.5,BULLISH_BOS,False,SWEEP_HIGH,,0.06400000000000006,,,BOS,False,,6.529,,2023-09-14 14:00:00,1,zone,,ABOVE,5.116120517190019,1.7394809758446064,ATOMUSDT,21,2.0573770491803325,0.12199999999999989,3.262295081967221,0.20491803278688106,3.262295081967221,7.049,6.626,6.529,2023-09-15 11:00:00,6.799,0.7571858365441257,stop_loss,trailing_stop,
LONG,7.07,,7.037,-0.11262798634812404,TREND,31.8758,0.0572,41.3233,7.8652,5.0,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,,6.777,,2023-09-16 02:00:00,1,zone,,ABOVE,5.153979809017225,2.06159192360689,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,0.290102389078498,0.12627986348122833,0.290102389078498,7.155,7.033,6.777,2023-09-16 19:00:00,7.037,-0.1700813336975703,stop_loss,trailing_stop,
LONG,7.182,,7.067,-1.0,TREND,38.2214,0.0449,17.965,11.2878,4.5,BULLISH_BOS,False,SWEEP_HIGH,,0.07399999999999984,,,BOS,False,,7.067,,2023-09-29 07:00:00,1,zone,,ABOVE,5.145475742332347,1.9552807820862916,ATOMUSDT,7,0.0,0.11500000000000021,0.026086956521732346,1.0,0.026086956521732346,7.185,7.067,7.067,2023-09-29 14:00:00,7.067,-0.591729710368221,stop_loss,SL,
LONG,7.412,,7.485,0.5251798561151099,TREND,35.4402,0.0518,35.5862,2.069,4.5,BULLISH_BOS,False,SWEEP_HIGH,,0.09299999999999997,,,BOS,False,,7.273,,2023-10-01 18:00:00,1,zone,,ABOVE,5.115889256813936,1.9440379175892952,ATOMUSDT,11,1.482014388489209,0.13900000000000023,1.856115107913666,0.11510791366906466,1.856115107913666,7.67,7.396,7.273,2023-10-02 05:00:00,7.485,0.3734599157474193,stop_loss,trailing_stop,
LONG,2.161,,2.1739,0.24855491329480106,TREND,32.7538,0.0224,25.717,17.9414,5.0,BULLISH_BOS,True,,,0.02069999999999972,,,BOS,True,,2.1091,,2023-10-22 06:00:00,1,zone,,ABOVE,5.134562252601306,2.0538249010405223,TONUSDT,24,1.3603082851637764,0.051899999999999835,1.5183044315992296,0.8786127167630059,1.5183044315992296,2.2398,2.1154,2.1091,2023-10-23 06:00:00,2.1739,0.06623585305855753,stop_loss,trailing_stop,
SHORT,2.0841,,2.0721,0.3269754768392358,TREND,31.3309,0.0161,14.9578,33.2446,4.0,BEARISH_BOS,True,,,0.025700000000000056,,,BOS,True,,,2.1208,2023-10-27 11:00:00,1,zone,,BELOW,5.137874045254234,1.8496346562915245,TONUSDT,18,1.283378746593997,0.03670000000000018,1.7820163487738307,0.4059945504087271,1.7820163487738307,2.099,2.0187,2.1208,2023-10-28 05:00:00,2.0721,0.06165448854305086,stop_loss,trailing_stop,
SHORT,563.5,,555.3,0.9111111111111162,TREND,33.6379,4.0321,7.9717,29.8494,5.0,BEARISH_BOS,True,,,5.149999999999977,,,BOS,True,,,572.5,2024-08-26 06:45:00,1,zone,,BELOW,0.22848696754139494,2.0563827078725545,BNBUSDT,22,1.7277777777777727,9.0,1.9499999999999948,0.3555555555555606,1.9499999999999948,566.7,545.95,572.5,2024-08-27 04:00:00,555.3,1.873593133839449,stop_loss,trailing_stop,15m
SHORT,505.15,,516.1,-1.0,TREND,39.5794,5.0571,8.7571,33.9689,3.5,BEARISH_BOS,False,,,3.849999999999966,,,BOS,False,,,516.1,2024-09-02 06:30:00,1,zone,,BELOW,0.1625366561613639,1.7797763849669421,BNBUSDT,3,0.20547945205479368,10.950000000000045,0.35159817351597716,1.0182648401826422,0.35159817351597716,516.3,501.3,516.1,2024-09-02 09:00:00,516.1,-1.7797763849669421,stop_loss,SL,15m
LONG,510.55,524.9110000000001,500.976,1.5000000000000029,RANGE,17.8424,3.8714,15.7749,28.8745,3.0,,False,SWEEP_LOW,,5.5,,,SWEEP,False,500.976,,,2024-09-11 04:30:00,1,,,,0.17198738607478609,1.646607234280004,BNBUSDT,13,2.3396699394192613,9.574000000000012,2.642573636933359,0.49091288907457514,2.642573636933359,535.85,505.85,500.976,2024-09-11 17:00:00,524.9110000000001,2.469910851420011,take_profit,TP,15m
LONG,552.5,558.52685,548.4821,-1.0,RANGE,16.1772,4.0179,18.6667,25.6,4.0,BEARISH_BOS,False,SWEEP_LOW,,9.200000000000045,,,SWEEP,False,548.8821,,,2024-09-15 23:30:00,1,,,,0.47211019037072577,1.8968915338905648,BNBUSDT,2,0.0,4.017900000000054,0.5973269618457266,1.8417581323576688,0.5973269618457266,554.9,545.1,548.4821,2024-09-16 01:00:00,548.4821,-1.8968915338905648,stop_loss,SL,15m
LONG,550.55,,568.6,1.8324873096446939,TREND,34.21,5.1214,23.6402,16.7364,5.0,BULLISH_BOS,True,,,5.350000000000023,,,BOS,True,,540.7,,2024-09-18 22:30:00,1,zone,,ABOVE,0.21012379991884395,2.069719429200594,BNBUSDT,37,2.527918781725921,9.849999999999909,2.6649746192893646,0.0,2.6649746192893646,576.8,550.55,540.7,2024-09-20 11:00:00,568.6,3.7927345885351476,stop_loss,trailing_stop,15m
LONG,575.6,,583.05,0.7487437185929545,TREND,39.1174,3.2429,38.6564,10.022,4.0,BULLISH_BOS,True,,,6.0,,,BOS,True,,565.65,,2024-09-21 06:15:00,1,zone,,ABOVE,0.19407203104262902,1.9310167088741674,BNBUSDT,20,1.2914572864321572,9.950000000000045,1.4623115577889334,0.0,1.4623115577889334,590.15,575.6,565.65,2024-09-22 02:00:00,583.05,1.445836631267573,stop_loss,trailing_stop,15m
LONG,600.5,,591.8,-1.0,TREND,39.4022,4.0036,42.7297,7.5825,3.5,BULLISH_BOS,False,,,10.75,,,BOS,False,,591.8,,2024-09-26 15:30:00,1,zone,,ABOVE,0.2124502558111657,1.8483172255571512,BNBUSDT,5,0.6149425287356316,8.700000000000045,0.9770114942528685,1.212643678160908,0.9770114942528685,609.0,589.95,591.8,2024-09-26 20:00:00,591.8,-1.8483172255571512,stop_loss,SL,15m
LONG,598.25,,606.15,0.9518072289156652,TREND,30.3185,5.4714,30.0261,19.7781,3.5,BULLISH_BOS,False,,,5.25,,,BOS,False,,589.95,,2024-09-27 02:15:00,1,zone,,ABOVE,0.21890311237622764,1.8168958327226794,BNBUSDT,17,1.5843373493975963,8.299999999999955,1.9939759036144633,0.0,1.9939759036144633,614.8,598.25,589.95,2024-09-27 19:00:00,606.15,1.7293345877721935,stop_loss,trailing_stop,15m
LONG,573.55,,571.05,-0.2392344497607671,TREND,33.6773,3.375,31.8519,4.6561,5.0,BULLISH_BOS,True,,,8.5,,,BOS,True,,563.1,,2024-10-07 00:30:00,1,zone,,ABOVE,0.20785753118095346,2.1721112008409493,BNBUSDT,9,0.2966507177033534,10.449999999999932,0.3732057416268054,0.3301435406698521,0.3732057416268054,577.45,570.1,563.1,2024-10-07 09:00:00,571.05,-0.5196438279523836,stop_loss,trailing_stop,15m
LONG,568.5,576.1071,563.4286,-1.0,RANGE,14.5574,5.0714,17.6056,26.0563,4.0,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,564.4286,,,2024-10-08 00:30:00,1,,,,0.3836310470193036,1.9455464918537115,BNBUSDT,5,0.3154947351816087,5.07140000000004,0.5028197341956727,1.2324013093031414,0.5028197341956727,571.05,562.25,563.4286,2024-10-08 05:00:00,563.4286,-1.9455464918537115,stop_loss,SL,15m
LONG,580.0,,587.0,0.6603773584905647,TREND,37.5982,3.7393,30.9456,18.1471,3.5,BULLISH_BOS,False,,,10.949999999999932,,,BOS,False,,569.4,,2024-10-14 03:30:00,1,zone,,ABOVE,0.1702251212526509,1.8043862852781034,BNBUSDT,24,1.0896226415094272,10.600000000000023,1.1603773584905592,0.533018867924525,1.1603773584905592,592.3,574.35,569.4,2024-10-15 03:00:00,587.0,1.1915758487685564,stop_loss,trailing_stop,15m
SHORT,590.95,,599.6,-1.0,TREND,37.2123,3.2464,7.3707,36.1936,5.0,BEARISH_BOS,True,,,7.0,,,BOS,True,,,599.6,2024-10-22 08:30:00,1,zone,,BELOW,0.24816634814106409,2.1466389114201987,BNBUSDT,4,0.13294797687862359,8.649999999999977,0.49710982658960456,1.0231213872832292,0.49710982658960456,599.8,586.65,599.6,2024-10-22 12:00:00,599.6,-2.1466389114201987,stop_loss,SL,15m
LONG,596.8,,604.0,0.8470588235294171,TREND,34.2223,3.2571,29.8246,12.8289,5.0,BULLISH_BOS,True,,,2.699999999999932,,,BOS,True,,588.3,,2024-10-28 20:15:00,1,zone,,ABOVE,0.24749483919903467,2.103706133191795,BNBUSDT,23,1.6117647058823583,8.5,1.8529411764705883,0.0,1.8529411764705883,612.55,596.8,588.3,2024-10-29 19:00:00,604.0,1.781962842233061,stop_loss,trailing_stop,15m
