direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
LONG,6.928,,6.907,,TREND,34.4966,0.0609,27.23,10.2113,4,BOS,True,2023-09-07 01:00:00,2.0312956028587723,0.48141705787752925,ATOMUSDT,32,0.223628691983122,0.2370000000000001,2023-09-08 09:00:00,6.907,-0.04265720766003403,stop_loss,ABOVE
SHORT,6.784,,6.42,,TREND,32.3441,0.0277,12.6289,38.6598,4,BOS,True,2023-09-10 01:00:00,7.028836274001897,0.6255664283861717,ATOMUSDT,50,5.2921348314606504,0.08900000000000041,2023-09-12 03:00:00,6.42,2.5584964037366897,stop_loss,BELOW
LONG,7.07,,7.037,,TREND,31.8758,0.0572,41.3233,7.8652,4,BOS,True,2023-09-16 02:00:00,2.1914852858840486,0.6421051887640266,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,2023-09-16 19:00:00,7.037,-0.07231901443417439,stop_loss,ABOVE
LONG,7.091,,7.072,,TREND,33.0945,0.0409,38.7435,4.014,4,BOS,True,2023-09-28 10:00:00,3.936427610889383,0.6416377005749705,ATOMUSDT,15,0.3926380368098157,0.16300000000000026,2023-09-29 01:00:00,7.072,-0.07479212460689878,stop_loss,ABOVE
LONG,2.161,,2.1739,,TREND,32.7538,0.0224,25.717,17.9414,4,BOS,True,2023-10-22 06:00:00,12.35364596499966,0.6411542255834803,TONUSDT,24,1.3603082851637764,0.051899999999999835,2023-10-23 06:00:00,2.1739,0.15936203294849727,stop_loss,ABOVE
SHORT,2.0841,,2.0721,,TREND,31.3309,0.0161,14.9578,33.2446,3,BOS,True,2023-10-27 11:00:00,21.386703595684562,0.7848920219616272,TONUSDT,18,1.283378746593997,0.03670000000000018,2023-10-28 05:00:00,2.0721,0.256640443148215,stop_loss,BELOW
LONG,554.15,,565.3,,TREND,37.3686,4.3464,37.4692,6.2449,4,BOS,True,2024-08-19 17:00:00,0.01434624130698993,0.34287516723705896,BNBUSDT,21,0.8158995815899589,23.899999999999977,2024-08-20 14:00:00,565.3,0.15996059057293738,stop_loss,ABOVE
SHORT,563.5,,555.3,,TREND,33.6379,4.0321,7.9717,29.8494,4,BOS,True,2024-08-26 06:00:00,0.07165304387079995,0.6448773948371995,BNBUSDT,22,1.7277777777777727,9.0,2024-08-27 04:00:00,555.3,0.5875549597405628,stop_loss,BELOW
SHORT,526.55,,516.1,,TREND,31.4253,2.6107,7.1135,35.5677,3,BOS,True,2024-09-01 01:00:00,0.10363733430417782,0.7928256074269697,BNBUSDT,32,3.0915032679738164,7.650000000000091,2024-09-02 09:00:00,516.1,1.0830101434786512,stop_loss,BELOW
LONG,522.4,,540.3,,TREND,37.6312,4.9607,29.4456,15.6947,4,BOS,True,2024-09-11 16:00:00,0.02450363171494304,0.34917675193793835,BNBUSDT,23,1.5789473684210527,14.25,2024-09-12 15:00:00,540.3,0.43861500769747985,stop_loss,ABOVE
LONG,552.9,555.7,551.6946,2.32,RANGE,16.1772,4.0179,18.6667,25.6,4,SWEEP,False,2024-09-15 23:00:00,0.26621020101413784,0.32088977630242593,BNBUSDT,1,0.0,1.2053999999999405,2024-09-16 00:00:00,551.6946,-0.32088977630242593,stop_loss,
LONG,552.0,,568.6,,TREND,34.21,5.1214,23.6402,16.7364,4,BOS,True,2024-09-18 22:00:00,0.044686000723807524,0.504951808179023,BNBUSDT,37,2.0752212389380653,11.299999999999955,2024-09-20 11:00:00,568.6,0.7417876120152059,stop_loss,ABOVE
LONG,577.15,,583.05,,TREND,39.1174,3.2429,38.6564,10.022,3,BOS,True,2024-09-21 06:00:00,0.037425042260049855,0.4303879859905734,BNBUSDT,20,0.9826086956521799,11.5,2024-09-22 02:00:00,583.05,0.22080774933429329,stop_loss,ABOVE
SHORT,575.1,,575.35,,TREND,32.251,4.2893,6.6611,44.1299,4,BOS,True,2024-09-30 02:00:00,0.025585320760514823,0.6626598076973333,BNBUSDT,25,0.3127413127413139,25.899999999999977,2024-10-01 03:00:00,575.35,-0.006396330190128706,stop_loss,BELOW
LONG,575.25,,571.05,,TREND,33.6773,3.375,31.8519,4.6561,4,BOS,True,2024-10-07 00:00:00,0.05453649878353111,0.6626184602199018,BNBUSDT,9,0.11522633744855801,12.149999999999977,2024-10-07 09:00:00,571.05,-0.22905329489083315,stop_loss,ABOVE
LONG,569.5,577.25,566.5,2.58,RANGE,14.5574,5.0714,17.6056,26.0563,4,SWEEP,False,2024-10-08 00:00:00,0.10738982752543974,0.3221694825763192,BNBUSDT,5,0.2000000000000076,3.0,2024-10-08 05:00:00,566.5,-0.3221694825763192,stop_loss,
LONG,587.95,,587.0,,TREND,34.0535,3.9536,34.598,15.8988,4,BOS,True,2024-10-14 15:00:00,0.057609721886420856,0.5069655526005075,BNBUSDT,12,0.40909090909089557,8.800000000000068,2024-10-15 03:00:00,587.0,-0.05472923579210243,stop_loss,ABOVE
SHORT,588.3,,599.6,,TREND,37.2123,3.2464,7.3707,36.1936,4,BOS,True,2024-10-22 08:00:00,0.031043163398773,0.350787746406137,BNBUSDT,4,0.0,11.300000000000068,2024-10-22 12:00:00,599.6,-0.350787746406137,stop_loss,BELOW
LONG,593.45,,592.3,,TREND,31.221,3.7,32.4324,11.0039,4,BOS,True,2024-10-24 05:00:00,0.031258755010880226,0.6564338552284847,BNBUSDT,23,0.14285714285714285,21.0,2024-10-25 04:00:00,592.3,-0.035947568262515106,stop_loss,ABOVE
LONG,597.9,,604.0,,TREND,34.2223,3.2571,29.8246,12.8289,4,BOS,True,2024-10-28 20:00:00,0.05258024688784793,0.5047703701233414,BNBUSDT,23,1.3124999999999993,9.600000000000023,2024-10-29 19:00:00,604.0,0.3207395060158736,stop_loss,ABOVE
LONG,647.6,,660.5,,TREND,32.9642,6.7179,36.9484,12.5997,4,BOS,True,2024-11-23 01:00:00,0.022777675484848006,0.6582748215121068,BNBUSDT,15,0.9826989619377162,28.899999999999977,2024-11-23 16:00:00,660.5,0.29383201375453877,stop_loss,ABOVE
LONG,654.2,,646.15,,TREND,34.4817,8.2679,28.3801,10.2808,4,BOS,True,2024-12-03 00:00:00,0.01953178180789999,0.5078263270053998,BNBUSDT,12,0.08846153846153672,26.0,2024-12-03 12:00:00,646.15,-0.15723084355359626,stop_loss,ABOVE
LONG,678.75,,744.65,,TREND,36.2541,10.25,32.4739,22.1951,4,BOS,True,2024-12-03 18:00:00,0.006274009032408692,0.3510308053632666,BNBUSDT,22,1.9008042895442347,55.950000000000045,2024-12-04 16:00:00,744.65,0.41345719523573266,stop_loss,ABOVE
LONG,24.94,,25.163,,TREND,39.9628,0.5025,25.3447,17.4129,4,BOS,True,2024-12-06 19:00:00,0.16204787667028298,0.3524541317578656,LINKUSDT,14,0.7811494252873552,2.1750000000000007,2024-12-07 09:00:00,25.163,0.03613667649747294,stop_loss,ABOVE
LONG,17.591,,17.357,,TREND,32.6015,0.4763,33.3233,8.6083,4,BOS,True,2024-12-06 18:00:00,0.40086646656625097,0.661830536300881,UNIUSDT,18,0.40763173834039834,1.6510000000000016,2024-12-07 12:00:00,17.357,-0.09380275317650344,stop_loss,ABOVE
