direction,entry,entry_level,zone_size_at_entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,htf_filter_variant,htf_filter_applied,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
SHORT,25.034,,0.109232,,21.973,4.372857142857125,TREND,34.6005,0.2913,9.0976,31.437,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.3930000000000007,,,BOS,False,,,25.734,2022-01-17 03:30:00,2.5,zone,NONE,False,0.7122957839518744,0.4986070487663141,LINKUSDT,75,5.1399999999999775,0.7000000000000028,5.442857142857119,0.15,5.442857142857119,25.139,21.224,25.734,0,21,2022-01-20 06:00:00,21.973,2.1803373946766875,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,90.175,,0.358929,,84.825,1.9669117647058811,TREND,32.711,0.9571,5.0373,33.9179,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.4050000000000011,,,BOS,True,,,92.895,2022-01-17 03:30:00,2.5,zone,NONE,False,0.45827853746903896,1.2465176219157854,AVAXUSDT,77,3.1801470588235277,2.719999999999999,3.3547794117647074,0.0,3.3547794117647074,90.175,81.05,92.895,0,19,2022-01-20 08:00:00,84.825,2.451790175459356,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,86.885,,0.358929,,84.825,1.8986175115207504,TREND,32.711,0.9571,5.0373,33.9179,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.4050000000000011,,,BOS,True,,,92.895,2022-01-18 01:00:00,2.5,zone,NONE,False,0.45827853746903896,1.2465176219157854,AVAXUSDT,55,4.940092165898646,1.0849999999999937,5.377880184331835,0.2165898617511528,5.377880184331835,87.12,81.05,92.895,1,19,2022-01-20 08:00:00,84.825,0.9440537871862213,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,84.125,,0.358929,,84.825,-1.0,TREND,32.711,0.9571,5.0373,33.9179,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.4050000000000011,,,BOS,True,,,92.895,2022-01-20 06:00:00,2.5,zone,NONE,False,0.45827853746903896,1.2465176219157854,AVAXUSDT,2,0.0,0.7000000000000028,0.09285714285713924,1.1071428571428608,0.09285714285713924,84.9,84.06,92.895,2,19,2022-01-20 08:00:00,84.825,-0.3207949762283286,stop_loss,trailing_stop,zone,,BELOW,15m
LONG,1.3729,2.0,0.008413,,1.3768,0.10626702997275257,TREND,33.4015,0.0224,33.2697,10.2833,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,0.03859999999999997,,,BOS,True,,1.3362,,2022-01-20 14:00:00,2.5,zone,NONE,False,5.2645165348886565,1.3161291337221641,ADAUSDT,6,0.9100817438692136,0.036699999999999955,1.435967302452317,0.48228882833787656,1.435967302452317,1.4256,1.3552,1.3362,0,22,2022-01-20 20:00:00,1.3768,0.020531614486065837,stop_loss,trailing_stop,zone,,ABOVE,
LONG,1.4052,2.0,0.008413,,1.3768,-0.41159420289855075,TREND,33.4015,0.0224,33.2697,10.2833,5.0,5_plus,1.25,BULLISH_BOS,True,SWEEP_HIGH,,0.03859999999999997,,,BOS,True,,1.3362,,2022-01-20 15:00:00,2.5,zone,NONE,False,5.2645165348886565,1.3161291337221641,ADAUSDT,5,0.01594202898550872,0.06899999999999995,0.150724637681159,0.7246376811594215,0.150724637681159,1.4156,1.3552,1.3362,1,22,2022-01-20 20:00:00,1.3768,-0.14951226959083774,stop_loss,trailing_stop,zone,,ABOVE,
LONG,0.2784,1.0,0.001563,,0.2671,-1.0,TREND,39.6038,0.0042,36.5039,18.2519,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.008299999999999974,,,BOS,True,,0.2671,,2022-01-20 14:30:00,2.5,zone,NONE,False,5.2645165348886565,1.3161291337221641,HBARUSDT,7,0.11504424778761292,0.011299999999999977,0.3407079646017724,1.0353982300884967,0.3407079646017724,0.28225,0.2667,0.2671,0,23,2022-01-20 21:00:00,0.2671,-0.05948903684424169,stop_loss,SL,zone,,ABOVE,15m
SHORT,21.493,1.0,0.142393,,19.713,1.2117086453369612,TREND,39.164,0.3797,16.7419,38.9014,3.5,3_to_4,0.5,BEARISH_BOS,False,,,1.3620000000000019,,,BOS,False,,,22.962,2022-01-20 21:30:00,2.5,zone,NONE,False,0.35773267871281145,0.5255093050291204,LINKUSDT,18,1.8025867937372346,1.4690000000000012,2.1524846834581326,0.0,2.1524846834581326,21.493,18.331,22.962,0,28,2022-01-21 15:00:00,19.713,0.6367641681088035,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,41769.5,1.0,155.973214,,35901.0,3.6427684667908133,TREND,38.962,415.9286,30.6715,36.519,5.0,5_plus,1.25,BEARISH_BOS,True,,,1508.5,,,BOS,True,,,43380.5,2022-01-20 21:30:00,2.5,zone,NONE,False,0.0008155017148186226,1.3137732625728011,BTCUSDT,40,4.3271260086902545,1611.0,4.847610180012414,0.0,4.847610180012414,41769.5,33960.0,43380.5,0,25,2022-01-22 13:00:00,35901.0,4.785771813413087,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,16.24,1.0,0.136393,,11.872,3.3860465116278986,TREND,31.957,0.3637,19.5405,36.8028,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.0630000000000006,,,BOS,True,,,17.53,2022-01-20 21:30:00,2.5,zone,NONE,False,1.0184288857153476,1.3137732625728011,NEARUSDT,47,4.306201550387586,1.2900000000000027,4.778294573643399,0.0,4.778294573643399,16.24,10.076,17.53,0,29,2022-01-22 20:00:00,11.872,4.448497372804637,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,83.01,1.0,0.433393,,61.285,4.637139807897559,TREND,36.8928,1.1557,20.3028,41.78,5.0,5_plus,1.25,BEARISH_BOS,True,,,4.465000000000003,,,BOS,True,,,87.695,2022-01-20 21:30:00,2.5,zone,NONE,False,0.2804211873154332,1.3137732625728011,AVAXUSDT,51,5.922091782283901,4.684999999999988,6.472785485592333,0.0,6.472785485592333,83.01,52.685,87.695,0,24,2022-01-23 00:00:00,61.285,6.092150294427789,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,3126.4,1.0,14.472321,,2462.6,4.559065934065938,TREND,32.7355,38.5929,25.4858,37.8956,5.0,5_plus,1.25,BEARISH_BOS,True,,,137.5,,,BOS,True,,,3272.0,2022-01-20 21:30:00,2.5,zone,NONE,False,0.009023168012175838,1.3137732625728011,ETHUSDT,56,5.475618131868135,145.5999999999999,5.703296703296708,0.0,5.703296703296708,3126.4,2296.0,3272.0,0,27,2022-01-23 05:00:00,2462.6,5.989578926482323,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,23.86,1.0,0.136205,,18.89,2.881159420289852,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-20 21:30:00,2.5,zone,NONE,False,0.7616076884480001,1.3137732625728011,DOTUSDT,60,3.9507246376811547,1.7250000000000014,4.539130434782604,0.0,4.539130434782604,23.86,16.03,25.585,0,26,2022-01-23 09:00:00,18.89,3.7851902115865594,stop_loss,trailing_stop,zone,,BELOW,15m
SHORT,18.835,1.0,0.136205,,18.89,-0.6111111111111089,TREND,31.1523,0.3632,23.1072,41.3963,5.0,5_plus,1.25,BEARISH_BOS,True,,,1.3200000000000003,,,BOS,True,,,25.585,2022-01-23 00:00:00,2.5,zone,NONE,False,0.7616076884480001,1.3137732625728011,DOTUSDT,9,8.50000000000002,0.08999999999999986,10.38888888888893,3.6666666666666536,10.38888888888893,19.165,17.9,25.585,1,26,2022-01-23 09:00:00,18.89,-0.041888422864639785,stop_loss,trailing_stop,zone,,BELOW,15m
