direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
LONG,10.693,2.0,,10.725,0.484848484848493,TREND,37.8069,0.0433,35.1485,12.5413,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-03 23:00:00,2.5,zone,5.073199156154249,1.2682997890385623,ATOMUSDT,25,2.1363636363636704,0.06599999999999895,2.2878787878788214,0.6212121212121368,2.2878787878788214,10.844,10.652,10.627,0,15,2023-06-05 00:00:00,10.725,0.16234237299693613,stop_loss,trailing_stop,zone,,ABOVE,
LONG,10.758,2.0,,10.725,-0.31132075471697657,TREND,37.8069,0.0433,35.1485,12.5413,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-04 03:00:00,2.5,zone,5.073199156154249,1.2682997890385623,ATOMUSDT,21,0.7169811320754774,0.10599999999999987,0.811320754716985,0.3490566037735762,0.811320754716985,10.844,10.721,10.627,1,15,2023-06-05 00:00:00,10.725,-0.16741557215308756,stop_loss,trailing_stop,zone,,ABOVE,
LONG,10.834,2.0,,10.725,-0.7730496453900707,TREND,37.8069,0.0433,35.1485,12.5413,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.014000000000001123,,,BOS,True,,10.627,,2023-06-04 12:00:00,2.5,zone,5.073199156154249,1.2682997890385623,ATOMUSDT,12,0.0,0.14100000000000001,0.07092198581560132,0.8014184397163088,0.07092198581560132,10.844,10.721,10.627,2,15,2023-06-05 00:00:00,10.725,-0.5529787080208131,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,10.18,,9.8746,10.3836,1.5000000000000044,RANGE,21.5526,0.0822,29.192,15.5517,5.0,5_plus,1.25,BULLISH_BOS,False,SWEEP_HIGH,,0.10400000000000098,,,SWEEP,False,10.3836,,,2023-06-06 20:00:00,2.5,zone,5.045296560795401,1.2613241401988502,ATOMUSDT,13,1.3998035363457781,0.20359999999999978,1.5422396856581553,0.0933202357563858,1.5422396856581553,10.199,9.866,10.3836,0,16,2023-06-07 09:00:00,9.8746,1.5408335696669182,take_profit,TP,,,,
SHORT,9.4961,1.0,,9.1094,3.0,TREND,31.9659,0.0676,18.8161,33.4038,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 16:00:00,2.5,zone,3.9738853679431765,0.5122338239278746,ATOMUSDT,34,4.197827773467813,0.1288999999999998,5.314972847168359,0.2086889061287783,5.314972847168359,9.523,8.811,9.625,0,17,2023-06-10 02:00:00,9.1094,1.5367014717836238,stop_loss,trailing_stop,zone,,BELOW,
SHORT,9.42,1.0,,9.3672,0.25756097560975366,TREND,31.9659,0.0676,18.8161,33.4038,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 17:00:00,2.5,zone,3.9738853679431765,0.5122338239278746,ATOMUSDT,329,7.902439024390242,0.20500000000000007,11.512195121951217,0.5024390243902426,11.512195121951217,9.523,7.06,9.625,1,17,2023-06-22 10:00:00,9.3672,0.2098211474273978,stop_loss,trailing_stop,zone,,BELOW,
SHORT,9.269,1.0,,9.3672,-0.4324086305592261,TREND,31.9659,0.0676,18.8161,33.4038,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-09 07:00:00,2.5,zone,3.9738853679431765,0.5122338239278746,ATOMUSDT,315,6.468516072214882,0.22710000000000008,9.726992514310876,0.9158960810215769,9.726992514310876,9.477,7.06,9.625,2,17,2023-06-22 10:00:00,9.3672,-0.3902355431320211,stop_loss,trailing_stop,zone,,BELOW,
LONG,9.3223,1.0,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,2.5,zone,5.190152593082697,1.2975381482706743,ATOMUSDT,8,0.6263310745401711,0.10330000000000084,1.1781219748305867,1.096805421103579,1.1781219748305867,9.444,9.209,9.219,0,18,2023-06-27 15:00:00,9.219,-0.5361427628654469,stop_loss,SL,zone,,ABOVE,
LONG,9.288,1.0,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,5_plus,1.25,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 14:00:00,2.5,zone,5.190152593082697,1.2975381482706743,ATOMUSDT,1,0.0,0.06900000000000084,0.17391304347826533,1.1449275362318792,0.17391304347826533,9.3,9.209,9.219,1,18,2023-06-27 15:00:00,9.219,-0.35812052892271046,stop_loss,SL,zone,,ABOVE,
LONG,9.21,2.0,,9.21,0.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 09:00:00,2.5,zone,5.1454394284932885,0.5145439428493288,ATOMUSDT,7,2.2976190476190044,0.0840000000000014,2.619047619047562,0.44047619047619274,2.619047619047562,9.43,9.173,9.126,0,19,2023-06-29 16:00:00,9.21,0.0,stop_loss,trailing_stop,zone,,BELOW,
