symbol,direction,entry,sl,tp,rr,signal_type,regime,confidence,timestamp,initial_risk,position_size,risk_amount,trade_risk,stop_distance,max_leverage,requested_size,actual_size,capital_before_entry,risk_percent,allocated_capital,log_message,sizing_warning,capital_after_entry,entry_type,bars_alive,max_r,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,realized_pnl,realized_r,mfe_valid,mae_valid,partial_tp_hits,tp1_taken,tp1_price,signal_id,entry_bar_index,exit_time,exit_price,pnl,exit_reason,exit_type,capital_after_exit,mtf_tf
ADAUSDT,SHORT,1.539,1.5554178571428572,1.5225821428571427,0.7389300932782301,RANDOM,RANDOM,5.0,2022-01-17 10:00:00,0.8887858147078567,54.13531175075007,0.8887858147078567,0.8887858147078567,0.01641785714285726,3.0,83.31424478440435,83.31424478440435,88.87858147078566,0.01,83.31424478440435,"ENTRY ADAUSDT: notional=83.314245, capital=88.88, units=54.135312, risk_amount=0.8888, trade_risk=0.8888",False,88.87858147078566,zone,1,0.02497789639824205,0.02947841827179918,0.0047255479672349615,0.02947841827179918,1.5432,1.5128,1.5554178571428572,0,0.0,0.7389300932782301,True,True,0,False,0.6502141852921433,26,394,2022-01-17 11:00:00,1.5225821428571427,0.6567505849664442,take_profit,TP,89.53533205575211,
ADAUSDT,LONG,1.5892,1.5661464285714286,1.6122535714285713,-1.1916186494190497,RANDOM,RANDOM,5.0,2022-01-18 02:00:00,0.895353320557521,38.83794419149603,0.895353320557521,0.895353320557521,0.02305357142857134,3.0,61.72126090912548,61.72126090912548,89.53533205575211,0.01,61.72126090912548,"ENTRY ADAUSDT: notional=61.721261, capital=89.54, units=38.837944, risk_amount=0.8954, trade_risk=0.8954",False,89.53533205575211,zone,1,0.0,0.018428479150248412,0.03060244416465487,0.018428479150248412,1.6057,1.5618,1.5661464285714286,0,0.0,-1.1916186494190497,True,True,0,False,2.484553320557521,27,410,2022-01-18 03:00:00,1.5661464285714286,-1.0669197145956146,stop_loss,SL,88.4684123411565,
ADAUSDT,SHORT,1.4317,1.4478321428571428,1.4155678571428572,0.7529052040735137,RANDOM,RANDOM,5.0,2022-01-18 18:00:00,0.884684123411565,54.839839396776355,0.884684123411565,0.884684123411565,0.016132142857142817,3.0,78.5141980643647,78.5141980643647,88.4684123411565,0.01,78.5141980643647,"ENTRY ADAUSDT: notional=78.514198, capital=88.47, units=54.839839, risk_amount=0.8847, trade_risk=0.8847",False,88.4684123411565,zone,2,0.0,0.018876794053453258,0.01039919193363907,0.018876794053453258,1.4409,1.415,1.4478321428571428,0,0.0,0.7529052040735137,True,True,0,False,0.547015876588435,28,426,2022-01-18 20:00:00,1.4155678571428572,0.6660832804777819,take_profit,TP,89.13449562163427,
ADAUSDT,LONG,1.4966,1.4792714285714286,1.5139285714285713,-1.2404252969497034,RANDOM,RANDOM,5.0,2022-01-18 22:00:00,0.8913449562163427,51.437878759393435,0.8913449562163427,0.8913449562163427,0.01732857142857136,3.0,76.98192935130821,76.98192935130821,89.13449562163427,0.01,76.98192935130821,"ENTRY ADAUSDT: notional=76.981929, capital=89.13, units=51.437879, risk_amount=0.8913, trade_risk=0.8913",False,89.13449562163427,zone,1,0.0,0.00011219001050331573,0.04263220399126471,0.00011219001050331573,1.4967,1.4586,1.4792714285714286,0,0.0,-1.2404252969497034,True,True,0,False,2.3879449562163426,29,430,2022-01-18 23:00:00,1.4792714285714286,-1.1056468319992772,stop_loss,SL,88.02884878963499,
DOGEUSDT,SHORT,0.1611,0.16242499999999999,0.159775,-1.9766829952830143,RANDOM,RANDOM,5.0,2022-01-19 10:00:00,0.868371108632139,655.374421609165,0.8683711086321388,0.868371108632139,0.0013249999999999929,3.0,105.58081932123648,105.58081932123648,86.83711086321388,0.01,105.58081932123648,"ENTRY DOGEUSDT: notional=105.580819, capital=86.84, units=655.374422, risk_amount=0.8684, trade_risk=0.8684",False,86.83711086321388,zone,1,0.0,0.0,0.004491167383658477,0.0,0.165,0.1611,0.16242499999999999,0,0.0,-1.9766829952830143,True,True,0,False,-0.7072711086321389,30,442,2022-01-19 11:00:00,0.16242499999999999,-1.7164944040282082,stop_loss,SL,85.12061645918567,
ADAUSDT,LONG,1.3976,1.3819535714285713,1.4132464285714286,-1.248707316229159,RANDOM,RANDOM,5.0,2022-01-19 18:00:00,0.8512061645918567,54.40258527407423,0.8512061645918567,0.8512061645918567,0.015646428571428617,3.0,76.03305317904614,76.03305317904614,85.12061645918567,0.01,76.03305317904614,"ENTRY ADAUSDT: notional=76.033053, capital=85.12, units=54.402585, risk_amount=0.8512, trade_risk=0.8512",False,85.12061645918567,zone,1,0.0,0.0025845677481140584,0.0359489877692231,0.0025845677481140584,1.3998,1.367,1.3819535714285713,0,0.0,-1.248707316229159,True,True,0,False,2.2488061645918567,31,450,2022-01-19 19:00:00,1.3819535714285713,-1.0629073653452132,stop_loss,SL,84.05770909384046,
DOGEUSDT,SHORT,0.1642,0.1653,0.16310000000000002,-0.1901780681818454,RANDOM,RANDOM,5.0,2022-01-19 22:00:00,0.8405770909384046,764.160991762193,0.8405770909384046,0.8405770909384046,0.0010999999999999899,3.0,125.4752348473521,125.4752348473521,84.05770909384046,0.01,125.4752348473521,"ENTRY DOGEUSDT: notional=125.475235, capital=84.06, units=764.160992, risk_amount=0.8406, trade_risk=0.8406",False,84.05770909384046,zone,1,0.002974147198336144,0.0030931130862696097,0.0,0.0030931130862696097,0.1642,0.1616,0.1653,0,0.0,-0.1901780681818454,True,True,0,False,-0.6763770909384046,32,454,2022-01-19 23:00:00,0.16310000000000002,-0.15985932731258118,stop_loss,SL,83.89784976652788,
ADAUSDT,LONG,1.3349,1.3207321428571428,1.3490678571428572,0.7347835106629886,RANDOM,RANDOM,5.0,2022-01-20 01:00:00,0.8389784976652789,59.21703537844152,0.8389784976652789,0.8389784976652789,0.014167857142857176,3.0,79.04882052668158,79.04882052668158,83.89784976652788,0.01,79.04882052668158,"ENTRY ADAUSDT: notional=79.048821, capital=83.90, units=59.217035, risk_amount=0.8390, trade_risk=0.8390",False,83.89784976652788,zone,1,0.019070810568477068,0.02622236453165597,0.00035757769815890534,0.02622236453165597,1.3569,1.3346,1.3207321428571428,0,0.0,0.7347835106629886,True,True,0,False,2.173878497665279,33,457,2022-01-20 02:00:00,1.3490678571428572,0.6164675658852536,take_profit,TP,84.51431733241314,
DOGEUSDT,SHORT,0.1649,0.1657245,0.16407549999999999,-0.5959962499999797,RANDOM,RANDOM,5.0,2022-01-20 11:00:00,0.8451431733241315,1025.0372023336877,0.8451431733241315,0.8451431733241315,0.0008245000000000058,3.0,169.0286346648251,169.0286346648251,84.51431733241314,0.01,169.0286346648251,"ENTRY DOGEUSDT: notional=169.028635, capital=84.51, units=1025.037202, risk_amount=0.8451, trade_risk=0.8451",False,84.51431733241314,zone,1,0.0005916157353947402,0.0014198777649473502,0.0,0.0014198777649473502,0.1649,0.1637,0.1657245,0,0.0,-0.5959962499999797,True,True,0,False,-0.6802431733241314,34,467,2022-01-20 12:00:00,0.16407549999999999,-0.5037021620142652,stop_loss,SL,84.01061517039888,
ADAUSDT,SHORT,1.3643,1.3770178571428573,1.3515821428571428,0.7010321888233738,RANDOM,RANDOM,5.0,2022-01-20 20:00:00,0.8401061517039887,66.05720934487934,0.8401061517039888,0.8401061517039887,0.012717857142857225,3.0,90.12185070921889,90.12185070921889,84.01061517039888,0.01,90.12185070921889,"ENTRY ADAUSDT: notional=90.121851, capital=84.01, units=66.057209, risk_amount=0.8401, trade_risk=0.8401",False,84.01061517039888,zone,1,0.09391670307373297,0.09439283338082434,0.0004761303070911161,0.09439283338082434,1.3647,1.285,1.3770178571428573,0,0.0,0.7010321888233738,True,True,0,False,0.5241938482960113,35,476,2022-01-20 21:00:00,1.3515821428571428,0.5889414543730286,take_profit,TP,84.5995566247719,
ADAUSDT,SHORT,1.2589,1.2754178571428572,1.2423821428571427,-1.21480096216215,RANDOM,RANDOM,5.0,2022-01-20 23:00:00,0.8459955662477191,51.21702887553725,0.8459955662477191,0.8459955662477191,0.01651785714285725,3.0,64.47711765141385,64.47711765141385,84.5995566247719,0.01,64.47711765141385,"ENTRY ADAUSDT: notional=64.477118, capital=84.60, units=51.217029, risk_amount=0.8460, trade_risk=0.8460",False,84.5995566247719,zone,1,0.0,0.024113601552879265,0.02801433121584513,0.024113601552879265,1.2826,1.2385,1.2754178571428572,0,0.0,-1.21480096216215,True,True,0,False,0.4129044337522808,36,479,2022-01-21 00:00:00,1.2754178571428572,-1.0277162278626422,stop_loss,SL,83.57184039690927,
DOGEUSDT,LONG,0.1523,0.1504392857142857,0.1541607142857143,0.34120144673704983,RANDOM,RANDOM,5.0,2022-01-21 05:00:00,0.8357184039690927,449.1384896570908,0.8357184039690927,0.8357184039690927,0.0018607142857142989,3.0,68.40379197477493,68.40379197477493,83.57184039690927,0.01,68.40379197477493,"ENTRY DOGEUSDT: notional=68.403792, capital=83.57, units=449.138490, risk_amount=0.8357, trade_risk=0.8357",False,83.57184039690927,zone,4,0.0011965753000660062,0.0027521231901518075,0.0016752054200923888,0.0027521231901518075,0.1546,0.1509,0.1504392857142857,0,0.0,0.34120144673704983,True,True,0,False,0.9880184039690927,37,485,2022-01-21 09:00:00,0.1541607142857143,0.28514832849903265,take_profit,TP,85.0275010647553,
ATOMUSDT,LONG,36.49,35.73410714285714,37.24589285714286,0.6739389492292152,RANDOM,RANDOM,5.0,2022-01-21 06:00:00,0.8357184039690927,0.552802157125785,0.8357184039690927,0.8357184039690927,0.7558928571428609,3.0,40.34350142703979,40.34350142703979,83.57184039690927,0.01,20.171750713519895,"ENTRY ATOMUSDT: notional=40.343501, capital=83.57, units=1.105604, risk_amount=0.8357, trade_risk=0.8357",False,83.57184039690927,zone,2,1.2683698180699596,1.639308161090424,0.15555478900858374,1.639308161090424,37.86,36.36,35.73410714285714,0,0.4048594375497022,0.6739389492292152,True,True,1,True,37.32571840396909,38,486,2022-01-21 08:00:00,37.24589285714286,0.7656529017972982,take_profit,TP,84.74235273625627,
ATOMUSDT,SHORT,37.515,38.13964285714286,36.89035714285714,0.7153587563411834,RANDOM,RANDOM,5.0,2022-01-21 15:00:00,0.8502750106475528,0.6806089279054143,0.850275010647553,0.8502750106475528,0.6246428571428595,3.0,51.06608786074323,51.06608786074323,85.0275010647553,0.01,25.533043930371615,"ENTRY ATOMUSDT: notional=51.066088, capital=85.03, units=1.361218, risk_amount=0.8503, trade_risk=0.8503",False,85.0275010647553,zone,2,1.1231660204534166,1.499514844060845,0.4763164798781527,1.499514844060845,37.92,36.24,38.13964285714286,0,0.5080226585672498,0.7153587563411834,True,True,1,True,36.66472498935245,39,495,2022-01-21 17:00:00,36.89035714285714,0.8622630034484448,take_profit,TP,86.397786726771,
