timestamp,symbol,tf,trade_type,entry,exit,PnL,R,confidence,regime
2025-12-02 00:00:00,DOTUSDT,30m,aligned,2.0388,2.0367,-0.03248608262814285,-0.015369561636827386,2.5,TREND
2025-12-02 22:00:00,FARTCOINUSDT,30m,aligned,0.3548,0.3663,0.3743382076804661,0.1776421262886591,2.5,TREND
2025-12-03 21:00:00,ARCUSDT,15m,aligned,0.0451,0.04683,0.8244750002741553,0.3905606565853654,2.5,TREND
2025-12-03 23:00:00,ARCUSDT,15m,aligned,0.0448,0.04683,1.0605828129514772,0.5004523189473685,2.5,TREND
2025-12-04 07:00:00,FARTCOINUSDT,30m,aligned,0.3746,0.3825,0.2091907522659135,0.09821833921371033,2.5,TREND
2025-12-05 04:00:00,FARTCOINUSDT,30m,aligned,0.3715,0.3641,-1.0022499833760234,-0.4701103522727266,2.5,TREND
2025-12-06 03:00:00,PIPPINUSDT,15m,aligned,0.2035,0.24733,1.9379424051914333,0.9132950429598318,2.5,TREND
2025-12-06 09:00:00,FARTCOINUSDT,30m,aligned,0.3817,0.3739,-1.5208191534562985,-0.7167171688741708,2.5,TREND
2025-12-06 23:00:00,FARTCOINUSDT,30m,aligned,0.3772,0.3803,0.010556834168587104,0.004965363475180292,3.5,TREND
2025-12-07 15:00:00,FILUSDT,15m,aligned,1.429,1.483,-0.935477028114242,-0.43997592121212165,2.5,TREND
2025-12-07 17:00:00,FILUSDT,15m,aligned,1.457,1.483,-0.612989887650673,-0.2895770230769222,2.5,TREND
2025-12-07 18:00:00,FILUSDT,15m,standalone,1.485,1.483,-0.05862130272980143,-0.027773185567009608,2.5,TREND
2025-12-07 19:00:00,FILUSDT,15m,standalone,1.493,1.483,0.18102442114619988,0.08578829411765011,2.5,TREND
2025-12-07 21:00:00,FILUSDT,15m,aligned,1.492,1.46,0.8529547512672182,0.4038726492753665,3.5,TREND
2025-12-11 00:00:00,ARCUSDT,15m,aligned,0.0338,0.03374,-0.024424963457963023,-0.011518658666666726,2.5,TREND
2025-12-11 07:00:00,ARCUSDT,15m,aligned,0.0334,0.03374,-0.36806781249329323,-0.17359845439999935,2.5,TREND
2025-12-11 08:00:00,DOTUSDT,30m,aligned,2.0664,2.0481,0.30350460142001645,0.14314734383562203,3.5,TREND
2025-12-11 08:00:00,FILUSDT,15m,aligned,1.389,1.382,0.04759986044716993,0.02245037985611668,5.0,TREND
2025-12-11 11:00:00,XRPUSDT,15m,standalone,2.0147,2.0054,0.09925495442541936,0.04689481123882852,2.5,TREND
2025-12-11 18:00:00,FILUSDT,15m,standalone,1.364,1.382,-0.364827071514642,-0.17200320629920965,2.5,TREND
2025-12-12 06:00:00,FARTCOINUSDT,30m,standalone,0.3824,0.386,0.024231040167117884,0.011443771739130174,3.5,TREND
2025-12-12 15:00:00,FILUSDT,15m,standalone,1.374,1.326,0.4256462520845579,0.20100008727272764,4.0,TREND
2025-12-12 15:00:00,XRPUSDT,15m,standalone,2.037,2.0015,1.0785561214902875,0.5093193549488025,5.0,TREND
2025-12-12 18:00:00,XRPUSDT,15m,standalone,1.9942,2.0015,-0.2674845052821606,-0.12567234814814737,2.5,TREND
2025-12-12 19:00:00,XRPUSDT,15m,standalone,2.0112,2.0015,0.10090463969952661,0.047467719534889034,2.5,TREND
2025-12-12 20:00:00,PIPPINUSDT,15m,aligned,0.3469,0.34426,-0.14978357842344653,-0.07046142687499803,2.5,TREND
2025-12-12 22:00:00,FILUSDT,15m,standalone,1.321,1.326,-0.10075643455853174,-0.04731414130434741,2.5,TREND
2025-12-13 01:00:00,FILUSDT,15m,standalone,1.339,1.326,0.1188505880008493,0.05583738072289226,2.5,TREND
2025-12-13 14:00:00,ARCUSDT,15m,aligned,0.0304,0.02974,0.9433009074888845,0.442926356923082,2.5,TREND
2025-12-14 05:00:00,PIPPINUSDT,15m,standalone,0.3682,0.33248,-1.1986000291426921,-0.560320096,3.5,TREND
2025-12-14 14:00:00,FILUSDT,15m,aligned,1.315,1.312,-0.016019763080371244,-0.007531097777779183,2.5,TREND
2025-12-14 21:00:00,FILUSDT,15m,aligned,1.301,1.312,-0.2783734712907723,-0.13087682499999967,2.5,TREND
2025-12-15 14:00:00,FILUSDT,15m,aligned,1.324,1.265,4.356619475112048,2.0509416148148345,2.5,TREND
2025-12-15 23:00:00,WIFUSDT,30m,aligned,0.3728,0.3709,-0.08583007132004655,-0.04040574718045149,2.5,TREND
2025-12-16 02:00:00,FARTCOINUSDT,30m,aligned,0.3182,0.3352,-1.0550353881201455,-0.48669140818858553,3.5,TREND
2025-12-16 05:00:00,ARCUSDT,15m,aligned,0.0435,0.04771,1.7018282882801405,0.7850591700000022,2.5,TREND
