direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position,mtf_tf
LONG,9.403,,9.126,-1.0,TREND,39.6208,0.0687,37.7339,6.8607,4,BULLISH_BOS,True,,,0.09399999999999942,,,BOS,True,,9.126,,2023-06-29 11:00:00,1,4.8286874472236425,1.7383274810005114,ATOMUSDT,8,0.0,0.277000000000001,2023-06-29 19:00:00,9.126,-1.337546422880954,stop_loss,ABOVE,
LONG,9.756,,9.825,0.16870415647921502,TREND,31.6232,0.0783,29.0146,18.1569,4,BULLISH_BOS,True,,,0.07699999999999996,,,BOS,True,,9.347,,2023-07-03 03:00:00,1,4.191324316353671,1.7142516453886543,ATOMUSDT,22,0.6821515892420524,0.4090000000000007,2023-07-04 01:00:00,9.825,0.2892013778283994,stop_loss,ABOVE,
LONG,9.838,,9.687,-0.7224880382775123,TREND,35.5495,0.1051,26.8525,7.274,3,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,1,4.776270194971015,1.5284064623907248,ATOMUSDT,8,0.2966507177033554,0.20899999999999963,2023-07-15 16:00:00,9.687,-0.7212167994406222,stop_loss,ABOVE,
SHORT,8.916,,9.024,-0.2983425414364606,TREND,39.3479,0.0827,9.7582,52.7634,4,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-24 09:00:00,1,4.714020353037663,1.7064753677996343,ATOMUSDT,17,0.0,0.3620000000000001,2023-07-25 02:00:00,9.024,-0.5091141981280618,stop_loss,BELOW,
SHORT,8.824,,8.822,0.006825938566555156,TREND,35.1411,0.0559,8.4291,32.6948,4,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-07-31 19:00:00,1,4.714753645092581,1.6973113122333292,ATOMUSDT,23,0.45051194539248873,0.29300000000000104,2023-08-01 18:00:00,8.822,0.009429507290188311,stop_loss,BELOW,
SHORT,8.499,,8.448,0.31288343558282256,TREND,34.7676,0.0589,14.1818,33.0909,4,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 18:00:00,1,4.715225120457091,1.6974810433645526,ATOMUSDT,20,0.7116564417177991,0.16300000000000026,2023-08-05 14:00:00,8.448,0.24047648114331235,stop_loss,BELOW,
SHORT,8.45,8.406,8.472,1.9999999999999192,RANGE,17.0534,0.022,33.1169,11.039,4,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.472,,,2023-08-13 20:00:00,1,4.7272489445142565,1.7018096200251325,ATOMUSDT,1,0.7727272727272397,0.02200000000000024,2023-08-13 21:00:00,8.406,0.20799895355862116,take_profit,,
LONG,8.55,,8.493,-0.40425531914893886,TREND,39.8096,0.0318,42.0225,16.4045,4,BULLISH_BOS,True,,,0.08200000000000074,,,BOS,True,,8.409,,2023-08-14 14:00:00,1,4.737648892192187,1.7055536011891874,ATOMUSDT,14,0.0,0.14100000000000001,2023-08-15 04:00:00,8.493,-0.27004598685495645,stop_loss,ABOVE,
SHORT,8.027,,7.957,0.14198782961460316,TREND,32.5504,0.0854,4.097,64.4649,4,BEARISH_BOS,True,,,0.6279999999999992,,,BOS,True,,,8.52,2023-08-15 19:00:00,1,3.449681081999589,1.7006927734257984,ATOMUSDT,23,0.2799188640973609,0.4930000000000003,2023-08-16 18:00:00,7.957,0.24147767573996914,stop_loss,BELOW,
SHORT,6.666,,6.689,-0.07540983606557282,TREND,37.3442,0.0516,8.8643,43.0748,4,BEARISH_BOS,True,,,0.13699999999999957,,,BOS,True,,,6.971,2023-09-01 17:00:00,1,4.736220476636438,1.705039371589118,ATOMUSDT,12,0.06229508196721359,0.3049999999999997,2023-09-02 05:00:00,6.689,-0.1089330709626366,stop_loss,BELOW,
SHORT,6.866,6.7873,6.9054,-1.0,RANGE,17.1148,0.0394,25.4083,25.4083,4,BULLISH_BOS,False,SWEEP_HIGH,,0.06199999999999939,,,SWEEP,False,6.9054,,,2023-09-04 02:00:00,1,4.730773823088306,1.7030785763117904,ATOMUSDT,1,0.12690355329948794,0.039400000000000546,2023-09-04 03:00:00,6.9054,-0.18639248862968183,stop_loss,,
LONG,6.928,,6.907,-0.08860759493670843,TREND,34.4966,0.0609,27.23,10.2113,4,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,,6.691,,2023-09-07 01:00:00,1,4.721454198656822,1.6997235115164562,ATOMUSDT,32,0.223628691983122,0.2370000000000001,2023-09-08 09:00:00,6.907,-0.09915053817179283,stop_loss,ABOVE,
SHORT,6.784,,6.42,4.089887640449418,TREND,32.3441,0.0277,12.6289,38.6598,4,BEARISH_BOS,True,,,0.041999999999999815,,,BOS,True,,,6.873,2023-09-10 01:00:00,1,4.716496671748232,1.6979388018293637,ATOMUSDT,50,5.2921348314606504,0.08900000000000041,2023-09-12 03:00:00,6.42,1.716804788516356,stop_loss,BELOW,
LONG,7.07,,7.037,-0.11262798634812404,TREND,31.8758,0.0572,41.3233,7.8652,4,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,,6.777,,2023-09-16 02:00:00,1,4.80233691117405,1.7288412880226582,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,2023-09-16 19:00:00,7.037,-0.1584771180687454,stop_loss,ABOVE,
LONG,7.091,,7.072,-0.11656441717791471,TREND,33.0945,0.0409,38.7435,4.014,4,BULLISH_BOS,True,,,0.06200000000000028,,,BOS,True,,6.928,,2023-09-28 10:00:00,1,4.794413055270613,1.7259886998974208,ATOMUSDT,15,0.3926380368098157,0.16300000000000026,2023-09-29 01:00:00,7.072,-0.09109384805014226,stop_loss,ABOVE,
LONG,2.161,,2.1739,0.24855491329480106,TREND,32.7538,0.0224,25.717,17.9414,4,BULLISH_BOS,True,,,0.02069999999999972,,,BOS,True,,2.1091,,2023-10-22 06:00:00,1,4.789858362868106,1.7243490106325183,TONUSDT,24,1.3603082851637764,0.051899999999999835,2023-10-23 06:00:00,2.1739,0.06178917288099921,stop_loss,ABOVE,
SHORT,2.0841,,2.0721,0.3269754768392358,TREND,31.3309,0.0161,14.9578,33.2446,3,BEARISH_BOS,True,,,0.025700000000000056,,,BOS,True,,,2.1208,2023-10-27 11:00:00,1,4.792947821512156,1.5337433028838898,TONUSDT,18,1.283378746593997,0.03670000000000018,2023-10-28 05:00:00,2.0721,0.057515373858145924,stop_loss,BELOW,
LONG,551.55,,565.3,0.6455399061032877,TREND,37.3686,4.3464,37.4692,6.2449,4,BULLISH_BOS,True,,,8.5,,,BOS,True,,530.25,,2024-08-19 17:30:00,1,0.08105617335557871,1.7264964924738229,BNBUSDT,21,1.0375586854460126,21.299999999999955,2024-08-20 14:00:00,565.3,1.1145223836392073,stop_loss,ABOVE,15m
SHORT,563.5,,555.3,0.9111111111111162,TREND,33.6379,4.0321,7.9717,29.8494,4,BEARISH_BOS,True,,,5.149999999999977,,,BOS,True,,,572.5,2024-08-26 06:45:00,1,0.19406198837548097,1.7465578953793288,BNBUSDT,22,1.7277777777777727,9.0,2024-08-27 04:00:00,555.3,1.5913083046789527,stop_loss,BELOW,15m
SHORT,527.85,,516.1,1.850393700787395,TREND,31.4253,2.6107,7.1135,35.5677,3,BEARISH_BOS,True,,,4.25,,,BOS,True,,,534.2,2024-09-01 01:30:00,1,0.24849714013837876,1.5779568398787107,BNBUSDT,32,3.9291338582677096,6.350000000000023,2024-09-02 09:00:00,516.1,2.91984139662595,stop_loss,BELOW,15m
LONG,522.1,,540.3,1.304659498207876,TREND,37.6312,4.9607,29.4456,15.6947,4,BULLISH_BOS,True,,,6.850000000000023,,,BOS,True,,508.15,,2024-09-11 16:30:00,1,0.13102212114715492,1.827758590002817,BNBUSDT,23,1.634408602150529,13.950000000000045,2024-09-12 15:00:00,540.3,2.3846026048782107,stop_loss,ABOVE,15m
LONG,552.5,560.5358,548.4821,-1.0,RANGE,16.1772,4.0179,18.6667,25.6,4,BEARISH_BOS,False,SWEEP_LOW,,9.200000000000045,,,SWEEP,False,548.8821,,,2024-09-15 23:30:00,1,0.4655868580329524,1.8706814368906248,BNBUSDT,2,0.0,4.017900000000054,2024-09-16 01:00:00,548.4821,-1.8706814368906248,stop_loss,,15m
LONG,550.55,,568.6,1.8324873096446939,TREND,34.21,5.1214,23.6402,16.7364,4,BULLISH_BOS,True,,,5.350000000000023,,,BOS,True,,540.7,,2024-09-18 22:30:00,1,0.18649839299762544,1.8370091710265937,BNBUSDT,37,2.527918781725921,9.849999999999909,2024-09-20 11:00:00,568.6,3.3662959936071517,stop_loss,ABOVE,15m
LONG,575.6,,583.05,0.7487437185929545,TREND,39.1174,3.2429,38.6564,10.022,3,BULLISH_BOS,True,,,6.0,,,BOS,True,,565.65,,2024-09-21 06:15:00,1,0.1695233946542949,1.686757776810242,BNBUSDT,20,1.2914572864321572,9.950000000000045,2024-09-22 02:00:00,583.05,1.2629492901744854,stop_loss,ABOVE,15m
SHORT,576.8,,575.35,0.05991735537189789,TREND,32.251,4.2893,6.6611,44.1299,4,BEARISH_BOS,True,,,8.549999999999955,,,BOS,True,,,601.0,2024-09-30 02:30:00,1,0.0793527101708537,1.9203355861346632,BNBUSDT,25,0.4049586776859478,24.200000000000045,2024-10-01 03:00:00,575.35,0.11506142974773245,stop_loss,BELOW,15m
LONG,573.55,,571.05,-0.2392344497607671,TREND,33.6773,3.375,31.8519,4.6561,4,BULLISH_BOS,True,,,8.5,,,BOS,True,,563.1,,2024-10-07 00:30:00,1,0.1839623628583861,1.9224066918701224,BNBUSDT,9,0.2966507177033534,10.449999999999932,2024-10-07 09:00:00,571.05,-0.45990590714596524,stop_loss,ABOVE,15m
LONG,568.5,578.6428,563.4286,-1.0,RANGE,14.5574,5.0714,17.6056,26.0563,4,,False,SWEEP_LOW,,6.7000000000000455,,,SWEEP,False,564.4286,,,2024-10-08 00:30:00,1,0.37743589256250343,1.9141283855414948,BNBUSDT,5,0.3154947351816087,5.07140000000004,2024-10-08 05:00:00,563.4286,-1.9141283855414948,stop_loss,,15m
LONG,586.9,,587.0,0.012903225806454546,TREND,34.0535,3.9536,34.598,15.8988,4,BULLISH_BOS,True,,,3.3500000000000227,,,BOS,True,,579.15,,2024-10-14 15:30:00,1,0.24253859027119332,1.8796740746017482,BNBUSDT,12,0.5999999999999971,7.75,2024-10-15 03:00:00,587.0,0.024253859027124847,stop_loss,ABOVE,15m
SHORT,590.95,,599.6,-1.0,TREND,37.2123,3.2464,7.3707,36.1936,4,BEARISH_BOS,True,,,7.0,,,BOS,True,,,599.6,2024-10-22 08:30:00,1,0.21735383168372732,1.8801106440642363,BNBUSDT,4,0.13294797687862359,8.649999999999977,2024-10-22 12:00:00,599.6,-1.8801106440642363,stop_loss,BELOW,15m
SHORT,581.05,,586.0,-0.31832797427652887,TREND,39.3947,2.6643,3.8874,39.6783,3,BEARISH_BOS,True,,,4.899999999999977,,,BOS,True,,,596.6,2024-10-23 08:30:00,1,0.10553875826915737,1.6411276910854045,BNBUSDT,16,0.382636655948547,15.550000000000068,2024-10-24 00:00:00,586.0,-0.5224168534323338,stop_loss,BELOW,15m
LONG,593.45,,592.3,-0.05476190476190909,TREND,31.221,3.7,32.4324,11.0039,4,BULLISH_BOS,True,,,2.0,,,BOS,True,,572.45,,2024-10-24 05:45:00,1,0.08746976900520467,1.8368651491092982,BNBUSDT,23,0.14285714285714285,21.0,2024-10-25 04:00:00,592.3,-0.10059023435599333,stop_loss,ABOVE,15m
LONG,596.8,,604.0,0.8470588235294171,TREND,34.2223,3.2571,29.8246,12.8289,4,BULLISH_BOS,True,,,2.699999999999932,,,BOS,True,,588.3,,2024-10-28 20:15:00,1,0.21588876763422238,1.8350545248908903,BNBUSDT,23,1.6117647058823583,8.5,2024-10-29 19:00:00,604.0,1.554399126966411,stop_loss,ABOVE,15m
LONG,620.65,639.0214,611.4643,-1.0,RANGE,22.1513,9.1857,8.126,35.2644,3,,False,SWEEP_LOW,,15.950000000000045,,,SWEEP,False,613.4643,,,2024-11-14 23:30:00,1,0.18028348016071225,1.656029963712254,BNBUSDT,5,0.391913517750419,9.185699999999997,2024-11-15 04:00:00,611.4643,-1.656029963712254,stop_loss,,15m
LONG,643.2,,660.5,0.70612244897959,TREND,32.9642,6.7179,36.9484,12.5997,4,BULLISH_BOS,True,,,17.200000000000045,,,BOS,True,,618.7,,2024-11-23 01:30:00,1,0.07482551713589654,1.8332251698294653,BNBUSDT,15,1.3387755102040797,24.5,2024-11-23 16:00:00,660.5,1.2944814464510066,stop_loss,ABOVE,15m
LONG,649.15,,646.15,-0.14319809069212458,TREND,34.4817,8.2679,28.3801,10.2808,4,BULLISH_BOS,True,,,8.299999999999955,,,BOS,True,,628.2,,2024-12-03 00:15:00,1,0.08861698500551739,1.8565258358655832,BNBUSDT,12,0.3508353221957063,20.949999999999932,2024-12-03 12:00:00,646.15,-0.26585095501655215,stop_loss,ABOVE,15m
LONG,673.6,,744.65,1.3986220472440918,TREND,36.2541,10.25,32.4739,22.1951,4,BULLISH_BOS,True,,,19.75,,,BOS,True,,622.8,,2024-12-03 18:30:00,1,0.03645158501329297,1.8517405186752853,BNBUSDT,22,2.1948818897637765,50.80000000000007,2024-12-04 16:00:00,744.65,2.589885115194464,stop_loss,ABOVE,15m
LONG,24.767,,25.163,0.19780219780219832,TREND,39.9628,0.5025,25.3447,17.4129,4,BULLISH_BOS,True,,,0.7640000000000029,,,BOS,True,,22.765,,2024-12-06 19:30:00,1,0.9482309943800135,1.8983584507487858,LINKUSDT,14,0.9350649350649355,2.001999999999999,2024-12-07 09:00:00,25.163,0.37549947377448606,stop_loss,ABOVE,15m
LONG,17.591,,17.357,-0.14173228346456787,TREND,32.6015,0.4763,33.3233,8.6083,4,BULLISH_BOS,True,,,0.5529999999999973,,,BOS,True,,15.94,,2024-12-06 18:00:00,1,1.149823410508046,1.8983584507487858,UNIUSDT,18,0.40763173834039834,1.6510000000000016,2024-12-07 12:00:00,17.357,-0.2690586780588848,stop_loss,ABOVE,
LONG,0.366,,0.3277,-0.4232044198895029,TREND,30.605,0.0143,48.1133,10.2454,4,BULLISH_BOS,True,,,0.04716999999999999,,,BOS,True,,0.2755,,2024-12-06 22:00:00,1,5.273217918746627,1.8983584507487858,HBARUSDT,21,0.021436464088397767,0.09049999999999997,2024-12-07 19:00:00,0.3277,-0.2019642462879958,stop_loss,ABOVE,
LONG,1.1975,1.2283,1.1821,-1.0,RANGE,14.9024,0.0154,14.7959,24.2115,5,BEARISH_BOS,False,SWEEP_LOW,,0.01750000000000007,,,SWEEP,False,1.1821,,,2024-12-08 06:00:00,1,5.268441746218007,2.1073766984872027,ADAUSDT,2,0.3766233766233764,0.01540000000000008,2024-12-08 08:00:00,1.1821,-0.08113400289175772,stop_loss,,
LONG,51.185,52.4386,50.5582,-1.0,RANGE,18.19,0.6268,13.9031,25.5271,4,BEARISH_BOS,False,SWEEP_LOW,,0.6499999999999986,,,SWEEP,False,50.7132,,,2024-12-08 06:30:00,1,3.025907831267508,1.8966390286384827,AVAXUSDT,2,0.6700701978302371,0.6268000000000029,2024-12-08 08:00:00,50.5582,-1.8966390286384827,stop_loss,,15m
LONG,0.458,,0.4488,-0.60526315789474,TREND,35.9293,0.0073,32.5886,11.752,4,BULLISH_BOS,True,,,0.008499999999999952,,,BOS,True,,0.4428,,2024-12-07 16:00:00,1,5.278539958532407,1.9002743850716666,DOGEUSDT,17,1.1138157894736849,0.015199999999999991,2024-12-08 09:00:00,0.4488,-0.04856256761849836,stop_loss,ABOVE,
LONG,1.1805,1.212,1.1569,1.3347457627118549,RANGE,15.5815,0.0157,16.5683,26.1462,4,BEARISH_BOS,False,SWEEP_LOW,,0.025500000000000078,,,SWEEP,False,1.1569,,,2024-12-08 08:00:00,1,5.169553094641494,1.8610391140709381,ADAUSDT,3,1.1906779661016829,0.023600000000000065,2024-12-08 11:00:00,1.212,0.16284092248120635,take_profit,,
LONG,1.1743,1.2046,1.1592,-1.0,RANGE,19.3412,0.0151,17.9717,28.3019,4,BEARISH_BOS,False,SWEEP_LOW,,0.028900000000000148,,,SWEEP,False,1.1592,,,2024-12-09 00:00:00,1,5.17526701238463,1.8630961244584667,ADAUSDT,3,0.0,0.015099999999999891,2024-12-09 03:00:00,1.1592,-0.07814653188700735,stop_loss,,
LONG,2.4886,2.5876,2.4391,-1.0,RANGE,22.1898,0.0495,26.1723,29.2454,4,BEARISH_BOS,False,SWEEP_LOW,,0.16989999999999972,,,SWEEP,False,2.4438,,,2024-12-09 00:30:00,1,5.17526701238463,1.8630961244584667,XRPUSDT,3,0.30505050505050224,0.0495000000000001,2024-12-09 03:00:00,2.4391,-0.2561757171130397,stop_loss,,15m
LONG,24.811,26.3038,24.0646,-1.0,RANGE,22.507,0.7464,14.7383,24.2894,5,BEARISH_BOS,False,SWEEP_LOW,,0.4499999999999993,,,SWEEP,False,24.1296,,,2024-12-09 12:30:00,1,2.76449673094031,2.063420359973851,LINKUSDT,4,1.33172561629153,0.7464000000000013,2024-12-09 16:00:00,24.0646,-2.063420359973851,stop_loss,,15m
SHORT,124.49,,112.91,0.9422294548413338,TREND,30.082,2.2771,11.857,41.8758,4,BEARISH_BOS,True,,,3.210000000000008,,,BOS,True,,,136.78,2024-12-09 08:00:00,1,0.15110482701191744,1.857078323976466,LTCUSDT,21,1.4117168429617564,12.290000000000006,2024-12-10 05:00:00,112.91,1.7497938967980036,stop_loss,BELOW,
SHORT,8.555,,7.531,1.0733752620545067,TREND,35.0738,0.1728,8.3506,43.241,4,BEARISH_BOS,True,,,0.3249999999999993,,,BOS,True,,,9.509,2024-12-09 08:00:00,1,1.9466229811074056,1.857078323976466,AXSUSDT,25,1.373165618448636,0.9540000000000006,2024-12-10 09:00:00,7.531,1.9933419326539834,stop_loss,BELOW,
LONG,99310.9,101124.6142,98404.0429,2.000000000000016,RANGE,17.332,906.8571,18.2443,22.9687,3,,False,SWEEP_LOW,,954.0,,,SWEEP,False,98404.0429,,,2024-12-13 01:45:00,1,0.0018499185103041508,1.677611735490731,BTCUSDT,14,1.9022842738949914,906.8570999999938,2024-12-13 15:00:00,101124.6142,3.3552234709814885,take_profit,,15m
LONG,53.54,,52.03,-0.5252173913043471,TREND,31.35,0.8918,20.5847,7.8494,5,BULLISH_BOS,True,SWEEP_HIGH,,0.7950000000000017,,,BOS,True,,50.665,,2024-12-14 01:30:00,1,0.7527370917506239,2.1641191387830436,AVAXUSDT,11,0.0,2.875,2024-12-14 12:00:00,52.03,-1.1366330085434406,stop_loss,ABOVE,15m
SHORT,523.4,,534.0,-0.3785714285714294,TREND,35.5931,6.3214,13.3333,25.9887,4,BEARISH_BOS,True,,,9.399999999999977,,,BOS,True,,,551.4,2024-12-14 13:00:00,1,0.06883027966967706,1.9272478307509575,BCHUSDT,10,0.09999999999999838,28.0,2024-12-14 23:00:00,534.0,-0.7296009644985784,stop_loss,BELOW,
SHORT,119.67,,120.18,-0.12259615384615517,TREND,37.9094,1.595,11.33,23.4662,3,BEARISH_BOS,True,,,2.319999999999993,,,BOS,True,,,123.83,2024-12-14 12:00:00,1,0.4118050920408032,1.7131091828897398,LTCUSDT,26,1.0288461538461549,4.159999999999997,2024-12-15 14:00:00,120.18,-0.21002059694081174,stop_loss,BELOW,
SHORT,3861.18,,3912.12,-1.0,TREND,36.6348,28.3271,16.201,23.4177,4,BEARISH_BOS,True,,,53.960000000000036,,,BOS,True,,,3912.12,2024-12-15 07:15:00,1,0.03757587383961486,1.9141150133899831,ETHUSDT,9,0.022968197879851132,50.940000000000055,2024-12-15 16:00:00,3912.12,-1.914115013389983,stop_loss,BELOW,15m
SHORT,6.804,6.6284,6.9401,1.2902277736958145,RANGE,11.9839,0.0878,27.1766,19.3653,5,BULLISH_BOS,False,SWEEP_HIGH,,0.07099999999999973,,,SWEEP,False,6.9401,,,2024-12-15 15:00:00,1,5.306485118458468,2.122594047383387,NEARUSDT,6,1.4621601763409258,0.1360999999999999,2024-12-15 21:00:00,6.6284,0.9318187868013081,take_profit,,
LONG,2.3921,2.4433000000000002,2.3665000000000003,2.0000000000000173,RANGE,15.6819,0.0256,12.6776,22.8476,4,,False,SWEEP_LOW,,0.0383,,,SWEEP,False,2.3748,,,2024-12-15 22:30:00,1,5.257370307129033,1.8926533105664523,XRPUSDT,1,2.179687500000016,0.025599999999999845,2024-12-15 23:00:00,2.4433000000000002,0.2691773597250072,take_profit,,15m
SHORT,7.532,,7.896,-0.892156862745097,TREND,30.1294,0.1106,13.9445,32.7308,3,BEARISH_BOS,True,,,0.19500000000000028,,,BOS,True,,,7.94,2024-12-14 13:00:00,1,4.198797016886614,1.7131091828897398,AXSUSDT,35,0.41421568627450844,0.40800000000000036,2024-12-16 00:00:00,7.896,-1.528362114146727,stop_loss,BELOW,
SHORT,6.858,6.67,6.952,-1.0,RANGE,14.1701,0.094,32.6748,19.9848,4,BULLISH_BOS,False,SWEEP_HIGH,,0.18599999999999994,,,SWEEP,False,6.952,,,2024-12-15 23:00:00,1,5.270829175115284,1.8974985030415024,NEARUSDT,1,0.0,0.0940000000000003,2024-12-16 00:00:00,6.952,-0.4954579424608383,stop_loss,,
LONG,2.5751,,2.5778,0.023684210526315155,TREND,37.1625,0.0351,35.9959,13.8415,4,BULLISH_BOS,True,,,0.031200000000000117,,,BOS,True,,2.4611,,2024-12-17 09:30:00,1,5.169638172284905,1.8610697420225661,XRPUSDT,13,1.2324561403508771,0.11399999999999988,2024-12-17 22:00:00,2.5778,0.013958023065168855,stop_loss,ABOVE,15m
SHORT,484.8,,484.3,0.011709601873536302,TREND,37.8422,10.3357,10.6427,46.1645,4,BEARISH_BOS,True,,,41.5,,,BOS,True,,,527.5,2024-12-18 20:00:00,1,0.04359065542008758,1.8613209864377394,BCHUSDT,14,0.30679156908665167,42.69999999999999,2024-12-19 10:00:00,484.3,0.02179532771004379,stop_loss,BELOW,
SHORT,0.2573,,0.27178,-0.501038062283738,TREND,33.451,0.0099,14.7145,23.2388,4,BEARISH_BOS,True,,,0.009409999999999974,,,BOS,True,,,0.2862,2024-12-20 09:00:00,1,5.171425839823666,1.86171330233652,HBARUSDT,10,0.7854671280276796,0.028900000000000037,2024-12-20 19:00:00,0.27178,-0.07488224616064693,stop_loss,BELOW,
