direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
SHORT,9.4961,1.0,,9.1094,3.0,TREND,31.9659,0.0676,18.8161,33.4038,3.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 16:00:00,1,zone,,BELOW,5.006262662927368,1.702129305395305,ATOMUSDT,34,4.197827773467813,0.1288999999999998,5.314972847168359,0.2086889061287783,5.314972847168359,9.523,8.811,9.625,0,17,2023-06-10 02:00:00,9.1094,1.93592177175401,stop_loss,trailing_stop,
SHORT,9.42,1.0,,9.3672,0.25756097560975366,TREND,31.9659,0.0676,18.8161,33.4038,3.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-08 17:00:00,1,zone,,BELOW,5.006262662927368,1.702129305395305,ATOMUSDT,329,7.902439024390242,0.20500000000000007,11.512195121951217,0.5024390243902426,11.512195121951217,9.523,7.06,9.625,1,17,2023-06-22 10:00:00,9.3672,0.2643306686025626,stop_loss,trailing_stop,
SHORT,9.269,1.0,,9.3672,-0.4324086305592261,TREND,31.9659,0.0676,18.8161,33.4038,3.5,BEARISH_BOS,False,,,0.12099999999999866,,,BOS,False,,,9.625,2023-06-09 07:00:00,1,zone,,BELOW,5.006262662927368,1.702129305395305,ATOMUSDT,315,6.468516072214882,0.22710000000000008,9.726992514310876,0.9158960810215769,9.726992514310876,9.477,7.06,9.625,2,17,2023-06-22 10:00:00,9.3672,-0.49161499349946897,stop_loss,trailing_stop,
LONG,9.3223,1.0,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 07:00:00,1,zone,,ABOVE,5.091694535270223,2.036677814108089,ATOMUSDT,8,0.6263310745401711,0.10330000000000084,1.1781219748305867,1.096805421103579,1.1781219748305867,9.444,9.209,9.219,0,18,2023-06-27 15:00:00,9.219,-0.5259720454934184,stop_loss,SL,
LONG,9.288,1.0,,9.219,-1.0,TREND,32.8663,0.0773,21.2569,15.9889,5.0,BULLISH_BOS,True,,,0.0730000000000004,,,BOS,True,,9.219,,2023-06-27 14:00:00,1,zone,,ABOVE,5.091694535270223,2.036677814108089,ATOMUSDT,1,0.0,0.06900000000000084,0.17391304347826533,1.1449275362318792,0.17391304347826533,9.3,9.209,9.219,1,18,2023-06-27 15:00:00,9.219,-0.35132692293364964,stop_loss,SL,
LONG,9.361,,,9.252,-0.7171052631578898,TREND,39.024,0.0734,21.4981,12.5486,3.0,,True,,,0.03599999999999959,,,BOS,True,,9.209,,2023-06-27 22:00:00,1,momentum,15.0,ABOVE,5.04782958684887,1.6153054677916383,ATOMUSDT,9,0.3749999999999883,0.15200000000000102,0.4539473684210434,1.493421052631571,0.4539473684210434,9.43,9.134,9.209,0,19,2023-06-28 07:00:00,9.252,-0.5502134249665268,stop_loss,trailing_stop,
LONG,9.21,2.0,,9.21,0.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 09:00:00,1,zone,,BELOW,5.020318915600543,1.7069084313041847,ATOMUSDT,7,2.2976190476190044,0.0840000000000014,2.619047619047562,0.44047619047619274,2.619047619047562,9.43,9.173,9.126,0,20,2023-06-29 16:00:00,9.21,0.0,stop_loss,trailing_stop,
LONG,9.326,2.0,,9.21,-0.5799999999999952,TREND,36.7324,0.0671,23.1097,7.0288,3.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 10:00:00,1,zone,,BELOW,5.020318915600543,1.7069084313041847,ATOMUSDT,6,0.38499999999999773,0.20000000000000107,0.5199999999999932,0.7250000000000029,0.5199999999999932,9.43,9.181,9.126,1,20,2023-06-29 16:00:00,9.21,-0.5823569942096614,stop_loss,trailing_stop,
LONG,9.403,2.0,,9.21,-1.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 11:00:00,1,zone,,BELOW,5.020318915600543,1.7069084313041847,ATOMUSDT,5,0.0,0.19299999999999962,0.1398963730569912,1.150259067357522,0.1398963730569912,9.43,9.181,9.126,2,20,2023-06-29 16:00:00,9.21,-0.9689215507109029,stop_loss,trailing_stop,
SHORT,9.1022,1.0,,9.386,-0.8657718120805353,TREND,32.0243,0.0953,18.3658,25.0375,3.5,BEARISH_BOS,False,,,0.11800000000000033,,,BOS,False,,,9.43,2023-06-29 20:00:00,1,zone,,BELOW,4.942754988354515,1.680536696040535,ATOMUSDT,15,0.5253203172666266,0.32779999999999987,0.7846247712019503,0.8657718120805353,0.7846247712019503,9.386,8.845,9.43,0,21,2023-06-30 11:00:00,9.386,-1.4027538656950085,stop_loss,trailing_stop,
SHORT,9.3674,1.0,,9.423,-0.1135620915032683,TREND,30.606,0.0984,7.9826,50.6531,3.5,BEARISH_BOS,False,,,0.1999999999999993,,,BOS,False,,,9.857,2023-07-05 15:00:00,1,zone,,BELOW,3.383762010465119,1.65668988032372,ATOMUSDT,14,0.17034313725490066,0.48959999999999937,0.22140522875816943,0.21364379084967264,0.22140522875816943,9.472,9.259,9.857,0,22,2023-07-06 05:00:00,9.423,-0.18813716778186093,stop_loss,trailing_stop,
SHORT,9.0108,1.0,,9.077,-0.27791771620486994,TREND,32.4789,0.0646,4.8619,42.9834,3.5,BEARISH_BOS,False,,,0.11499999999999844,,,BOS,False,,,9.249,2023-07-12 19:00:00,1,zone,,BELOW,4.863210436680672,1.6534915484714283,ATOMUSDT,14,0.20906801007556347,0.23820000000000086,0.32241813602015174,0.5591939546599494,0.32241813602015174,9.144,8.934,9.249,0,23,2023-07-13 09:00:00,9.077,-0.3219445309082617,stop_loss,trailing_stop,
LONG,9.8213,1.0,,9.687,-0.6983879355174235,TREND,35.5495,0.1051,26.8525,7.274,4.0,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,1,zone,,ABOVE,4.847113210135259,1.744960755648693,ATOMUSDT,8,0.4092563702548052,0.19230000000000125,0.840873634945391,0.7503900156006255,0.840873634945391,9.983,9.677,9.629,0,24,2023-07-15 16:00:00,9.687,-0.6509673041211721,stop_loss,trailing_stop,
SHORT,9.335,,,9.328,0.07291666666668305,TREND,35.2635,0.0597,10.0478,39.7129,4.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 18:00:00,1,momentum,8.0,BELOW,4.8145648449292,1.733243344174512,ATOMUSDT,11,0.9375000000000335,0.09599999999999831,1.7708333333333823,0.4791666666666686,1.7708333333333823,9.381,9.165,9.431,0,25,2023-07-23 05:00:00,9.328,0.03370195391451138,stop_loss,trailing_stop,
SHORT,9.258,,,9.328,-0.5691056910569078,TREND,35.2635,0.0597,10.0478,39.7129,4.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 23:00:00,1,momentum,8.0,BELOW,4.8145648449292,1.733243344174512,ATOMUSDT,6,0.10569105691056735,0.12300000000000111,0.3495934959349502,0.6504065040650354,0.3495934959349502,9.338,9.215,9.431,1,25,2023-07-23 05:00:00,9.328,-0.3370195391450454,stop_loss,trailing_stop,
SHORT,9.0733,1.0,,9.024,0.24084025403029008,TREND,39.3479,0.0827,9.7582,52.7634,5.0,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-24 09:00:00,1,zone,,BELOW,4.799398965667673,1.9197595862670693,ATOMUSDT,17,0.7342452369320913,0.20470000000000077,0.9443087445041436,0.0,0.9443087445041436,9.0733,8.88,9.278,0,26,2023-07-25 02:00:00,9.024,0.236610369007419,stop_loss,trailing_stop,
SHORT,8.853,1.0,,8.822,0.11742424242424414,TREND,35.1411,0.0559,8.4291,32.6948,5.0,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-07-31 19:00:00,1,zone,,BELOW,4.811229484118044,1.9244917936472177,ATOMUSDT,23,0.6098484848484806,0.2640000000000011,1.0530303030303003,0.19696969696969463,1.0530303030303003,8.905,8.575,9.117,0,27,2023-08-01 18:00:00,8.822,0.14914811400766217,stop_loss,trailing_stop,
SHORT,8.731,1.0,,8.822,-0.522988505747124,TREND,35.1411,0.0559,8.4291,32.6948,5.0,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-08-01 02:00:00,1,zone,,BELOW,4.811229484118044,1.9244917936472177,ATOMUSDT,16,0.2241379310344817,0.1739999999999995,0.5977011494252845,0.7011494252873577,0.5977011494252845,8.853,8.627,9.117,1,27,2023-08-01 18:00:00,8.822,-0.4378218830547387,stop_loss,trailing_stop,
SHORT,8.5433,1.0,,8.448,0.802864363942709,TREND,34.7676,0.0589,14.1818,33.0909,5.0,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 18:00:00,1,zone,,BELOW,4.79679579566569,1.9187183182662761,ATOMUSDT,20,1.350463352990738,0.11870000000000047,1.5526537489469219,0.0,1.5526537489469219,8.5433,8.359,8.662,0,28,2023-08-05 14:00:00,8.448,0.45713463932694,stop_loss,trailing_stop,
SHORT,8.421,1.0,,8.448,-0.11203319502075047,TREND,34.7676,0.0589,14.1818,33.0909,5.0,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 20:00:00,1,zone,,BELOW,4.79679579566569,1.9187183182662761,ATOMUSDT,18,0.15767634854771798,0.24100000000000144,0.25726141078837766,0.35684647302904476,0.25726141078837766,8.507,8.359,8.662,1,28,2023-08-05 14:00:00,8.448,-0.12951348648297853,stop_loss,trailing_stop,
LONG,8.571,1.0,,8.571,0.0,TREND,37.7428,0.047,31.459,9.1185,3.5,BULLISH_BOS,False,,,0.10699999999999932,,,BOS,False,,8.548,,2023-08-09 12:00:00,1,zone,,ABOVE,4.813176853307889,1.636480130124682,ATOMUSDT,2,0.6382978723404417,0.0470000000000006,2.106382978723382,0.5531914893616908,2.106382978723382,8.67,8.545,8.524,0,29,2023-08-09 14:00:00,8.571,0.0,stop_loss,trailing_stop,
LONG,8.601,1.0,,8.571,-1.0,TREND,37.7428,0.047,31.459,9.1185,3.5,BULLISH_BOS,False,,,0.10699999999999932,,,BOS,False,,8.548,,2023-08-09 13:00:00,1,zone,,ABOVE,4.813176853307889,1.636480130124682,ATOMUSDT,1,0.0,0.030000000000001137,1.1333333333332545,1.8666666666666272,1.1333333333332545,8.635,8.545,8.524,1,29,2023-08-09 14:00:00,8.571,-0.14439530559924213,stop_loss,trailing_stop,
SHORT,8.4154,1.0,,8.49,-0.5501474926253697,TREND,31.2661,0.0437,9.4771,33.1699,3.5,,False,SWEEP_LOW,,0.07699999999999996,,,BOS,False,,,8.551,2023-08-10 06:00:00,1,momentum,9.0,BELOW,4.8059570880279265,1.6340254099294949,ATOMUSDT,6,0.0,0.13560000000000016,0.0,0.7197640117994085,0.0,8.513,8.4154,8.551,0,30,2023-08-10 12:00:00,8.49,-0.3585243987668844,stop_loss,trailing_stop,
SHORT,8.45,,8.417,8.472,1.4999999999999596,RANGE,17.0534,0.022,33.1169,11.039,4.0,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.472,,,2023-08-13 20:00:00,1,,,,4.788030868089582,1.7236911125122496,ATOMUSDT,1,0.7727272727272397,0.02200000000000024,2.2272727272726796,0.36363636363640034,2.2272727272726796,8.458,8.401,8.472,0,31,2023-08-13 21:00:00,8.417,0.15800501864695368,take_profit,TP,
