direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,6.896,6.6535,6.9971,2.4,TREND,25.9785,0.0842,6.7854,42.6633,4,BOS,False,2023-10-04 00:00:00,BELOW,4.9967357247886515,0.5051699817761314,ATOMUSDT,6,0.0,0.10109999999999975,2023-10-04 06:00:00,6.9971,-0.5051699817761314,stop_loss
LONG,2.161,2.2417,2.1341,3.0,TREND,32.7538,0.0224,25.717,17.9414,4,BOS,True,2023-10-22 06:00:00,ABOVE,36.247823330085794,0.975066447579305,TONUSDT,1,0.0,0.026899999999999924,2023-10-22 07:00:00,2.1341,-0.975066447579305,stop_loss
SHORT,2.0841,2.0262,2.0841,3.0,TREND,31.3309,0.0161,14.9578,33.2446,3,BOS,True,2023-10-27 11:00:00,BELOW,45.64428402137953,0.8809346816126393,TONUSDT,6,2.4404145077719765,0.019300000000000317,2023-10-27 17:00:00,2.0262,2.6428040448378773,take_profit
LONG,528.2,541.652,523.3957,2.8,TREND,28.4293,4.0036,23.7288,17.9304,4,BOS,False,2024-08-15 13:00:00,ABOVE,0.10645817332799933,0.5114570021197085,BNBUSDT,5,0.49955248423286874,4.804300000000012,2024-08-15 18:00:00,523.3957,-0.5114570021197085,stop_loss
SHORT,513.65,498.5403,519.4614,2.6,TREND,27.187,4.8429,24.5575,36.7994,4,BOS,True,2024-08-15 19:00:00,BELOW,0.09951155806484087,0.5783014685380211,BNBUSDT,3,0.0,5.811400000000049,2024-08-15 22:00:00,519.4614,-0.5783014685380211,stop_loss
LONG,546.95,560.09,546.95,2.8,TREND,33.5335,3.9107,28.9498,6.9406,4,BOS,False,2024-08-19 16:00:00,ABOVE,0.18390185699739342,0.8630330247030692,BNBUSDT,1,1.5342325640861554,4.692900000000009,2024-08-19 17:00:00,546.95,-0.0,stop_loss
LONG,573.25,588.93,567.65,2.8,TREND,28.6174,5.1821,23.4321,15.093,4,BOS,False,2024-08-20 22:00:00,ABOVE,0.09027923652324968,0.5055637245302003,BNBUSDT,2,0.0,5.600000000000023,2024-08-21 00:00:00,567.65,-0.5055637245302003,stop_loss
LONG,595.3,611.032,589.6814,2.8,TREND,28.0944,4.6821,35.9268,7.0938,4,BOS,False,2024-08-23 21:00:00,ABOVE,0.08949377053063313,0.5028296991034065,BNBUSDT,2,0.0,5.618599999999901,2024-08-23 23:00:00,589.6814,-0.5028296991034065,stop_loss
LONG,588.7,600.3889,584.2043,2.6,TREND,27.2397,3.7464,27.2641,10.3908,3,BOS,True,2024-08-24 19:00:00,ABOVE,0.1154676223678382,0.5191077898790967,BNBUSDT,2,0.13346086260202006,4.495700000000056,2024-08-24 21:00:00,584.2043,-0.5191077898790967,stop_loss
SHORT,563.5,548.9843,561.4,3.0,TREND,33.6379,4.0321,7.9717,29.8494,4,BOS,True,2024-08-26 06:00:00,BELOW,0.1994587914333413,0.9651013082293737,BNBUSDT,15,3.172405241185444,4.838600000000042,2024-08-26 21:00:00,548.9843,2.89528397880896,take_profit
