symbol,entry_time,exit_time,MFE,MAE,final_R
DOTUSDT,2022-03-16 00:30:00,2022-03-16 10:00:00,1.0662251655629196,0.013245033112580164,0.42384105960264995
DOTUSDT,2022-03-16 02:00:00,2022-03-16 10:00:00,0.17647058823529518,0.8403361344537831,-0.28571428571428914
LINKUSDT,2022-03-16 23:30:00,2022-03-17 04:00:00,0.2549575070821521,0.20963172804532748,0.043909348441924574
XRPUSDT,2022-03-16 23:30:00,2022-03-17 06:00:00,0.2400000000000021,0.2763636363636345,-0.09090909090908908
AAVEUSDT,2022-03-18 16:00:00,2022-03-18 22:00:00,2.5568181818181785,0.0,1.636363636363638
AAVEUSDT,2022-03-18 17:00:00,2022-03-18 22:00:00,0.45161290322580644,0.21935483870967595,-0.07096774193548167
AAVEUSDT,2022-03-19 00:00:00,2022-03-19 06:00:00,2.9021739130434807,0.0,1.9456521739130497
AAVEUSDT,2022-03-19 01:00:00,2022-03-19 06:00:00,0.44262295081967273,1.1803278688524637,-1.0
SOLUSDT,2022-03-19 15:30:00,2022-03-19 17:00:00,0.1889315812936512,0.1602734200861862,-0.08279024348822925
BCHUSDT,2022-03-21 06:00:00,2022-03-21 12:00:00,1.5123456790123415,0.0,1.0061728395061673
LINKUSDT,2022-03-21 19:30:00,2022-03-21 20:00:00,0.14076782449725753,0.029250457038391218,0.40767824497257865
LINKUSDT,2022-03-21 20:15:00,2022-03-21 21:00:00,0.2683823529411777,0.029411764705882353,0.4154411764705895
LTCUSDT,2022-03-22 09:30:00,2022-03-22 16:00:00,0.33980582524272024,0.22653721682847786,-0.17152103559870377
ADAUSDT,2022-02-18 13:00:00,2022-03-23 13:00:00,20.433823529411676,1.5514705882352964,-1.0
FILUSDT,2022-03-23 15:45:00,2022-03-23 17:00:00,0.3846153846153836,1.05769230769231,-0.5576923076923065
ATOMUSDT,2022-03-23 17:00:00,2022-03-23 23:00:00,0.09561752988047678,1.8341633466135512,-1.0
HBARUSDT,2022-03-24 03:45:00,2022-03-24 08:00:00,1.3965517241379304,0.0,0.4913793103448261
HBARUSDT,2022-03-24 06:00:00,2022-03-24 08:00:00,0.08860759493670592,0.6772151898734189,-0.4810126582278502
XRPUSDT,2022-03-24 16:30:00,2022-03-24 23:00:00,0.16494845360824664,0.4536082474226826,-0.20103092783505258
NEARUSDT,2022-03-25 04:30:00,2022-03-25 05:00:00,0.2343032159264943,0.0,0.402756508422668
ATOMUSDT,2022-03-25 01:00:00,2022-03-25 08:00:00,0.5932738758825721,0.29858788554440463,0.07302118171683536
UNIUSDT,2022-03-25 10:00:00,2022-03-25 15:00:00,2.144927536231872,0.21739130434782497,0.5990338164251213
UNIUSDT,2022-03-25 11:00:00,2022-03-25 15:00:00,0.09561752988047484,1.67330677290837,-1.0
SOLUSDT,2022-03-26 16:15:00,2022-03-26 23:00:00,0.10188679245282874,0.300943396226415,-0.2811320754717
HBARUSDT,2022-03-27 09:00:00,2022-03-27 12:00:00,0.24253731343283563,0.3246268656716428,-0.10447761194029925
DOTUSDT,2022-03-28 02:30:00,2022-03-28 21:00:00,0.45152354570637,0.15789473684210537,0.03601108033240872
ETHUSDT,2022-03-27 21:15:00,2022-03-28 23:00:00,1.1347182289268083,0.026621969417234072,0.6610546172175675
AAVEUSDT,2022-03-30 17:00:00,2022-03-30 18:00:00,0.13032382521677102,0.1409538928352543,0.07255171859458023
BNBUSDT,2022-03-30 20:30:00,2022-03-31 00:00:00,0.18072289156626506,0.2746987951807223,-0.20481927710843373
ETHUSDT,2022-03-28 21:00:00,2022-03-31 16:00:00,1.3193548387096774,1.4535483870967754,-1.0
BTCUSDT,2022-04-02 01:30:00,2022-04-02 07:00:00,0.0887559212166542,0.20169533782099228,-0.093742208925455
