direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,6.735,6.607,6.8054,1.82,RANGE,18.0057,0.0741,28.5164,14.3545,3,SWEEP,False,2025-01-13 00:00:00,0.62,False,True,,,,2.9632101374594995,0.20860999367714683,DOTUSDT,1,1.6761363636363837,0.07039999999999935,2025-01-13 01:00:00,6.607,0.37929089759481627,take_profit
SHORT,0.3413,0.334,0.3449,2.03,RANGE,17.5047,0.0038,32.5019,13.2653,3,SWEEP,False,2025-01-13 00:00:00,0.62,False,True,,,,57.947220465874246,0.20860999367714683,DOGEUSDT,2,2.1944444444444544,0.003599999999999992,2025-01-13 02:00:00,0.334,0.42301470940088043,take_profit
LONG,306.0,315.3317,306.0,1.8,TREND,34.5138,5.4571,29.9869,14.1754,4,BOS,False,2025-01-15 13:00:00,0.98,True,True,,,ABOVE,0.06388796285644043,0.33121436583664454,AAVEUSDT,1,1.4929691568774952,5.1843000000000075,2025-01-15 14:00:00,306.0,-0.0,stop_loss
LONG,103.95,106.1215,103.95,2.05,TREND,35.1981,1.115,24.5356,16.3997,4,BOS,False,2025-01-15 13:00:00,0.98,True,True,,,ABOVE,0.31270238466450456,0.33121436583664454,LTCUSDT,1,0.8591389728096611,1.0592000000000041,2025-01-15 14:00:00,103.95,-0.0,stop_loss
LONG,39.025,40.1413,39.025,2.05,TREND,36.0065,0.5732,40.0623,10.5919,4,BOS,False,2025-01-15 13:00:00,0.98,True,True,,,ABOVE,0.5212964154608581,0.28389802785998103,AVAXUSDT,9,0.7987513771575575,0.5445999999999955,2025-01-15 22:00:00,39.025,-0.0,stop_loss
LONG,113.65,116.8489,113.65,1.8,TREND,34.8792,1.8707,56.9301,7.9038,4,BOS,False,2025-01-15 22:00:00,0.98,True,True,,,ABOVE,0.18636865059455499,0.33121436583664454,LTCUSDT,1,1.8512266486608022,1.7772000000000077,2025-01-15 23:00:00,116.8489,0.596174676386921,take_profit
LONG,101644.6,103556.0573,101644.6,2.05,TREND,35.0252,981.4929,26.0558,17.846,4,BOS,False,2025-01-17 01:00:00,0.98,True,True,,,ABOVE,0.0003573355963866796,0.3331862135787943,BTCUSDT,14,2.513678947922711,932.4182000000001,2025-01-17 15:00:00,103556.0573,0.6830317342631704,take_profit
LONG,236.15,245.7345,231.4746,2.05,TREND,38.156,4.9214,32.8737,5.1669,4,BOS,False,2025-01-18 06:00:00,0.9,True,True,,,ABOVE,0.06149732173379267,0.287524578034174,SOLUSDT,2,0.5347136073918813,4.675399999999996,2025-01-18 08:00:00,231.4746,-0.287524578034174,stop_loss
SHORT,5.086,4.8253,5.086,2.05,TREND,36.7208,0.1339,16.9691,41.9957,4,BOS,False,2025-01-19 21:00:00,0.98,True,True,,,BELOW,2.2540050774799423,0.2867094458554471,FILUSDT,2,0.8726415094339721,0.1271999999999993,2025-01-19 23:00:00,5.086,-0.0,stop_loss
SHORT,0.347,0.3222,0.3591,2.05,TREND,35.5545,0.0127,16.0912,32.6757,5,BOS,False,2025-01-20 00:00:00,0.98,True,True,,,BELOW,27.644161446117494,0.33449435349802165,DOGEUSDT,2,0.0,0.0121,2025-01-20 02:00:00,0.3591,-0.33449435349802165,stop_loss
SHORT,6.06,5.7075,6.2319,2.05,TREND,38.4205,0.181,14.0489,35.1618,4,BOS,False,2025-01-20 00:00:00,0.9,True,True,,,BELOW,1.6678850835104464,0.2867094458554471,DOTUSDT,2,0.0,0.17190000000000083,2025-01-20 02:00:00,6.2319,-0.2867094458554471,stop_loss
SHORT,4.825,4.5276,4.9701,2.05,TREND,37.6986,0.1527,14.8737,35.3601,4,BOS,False,2025-01-20 00:00:00,0.98,True,True,,,BELOW,1.9759438032766827,0.2867094458554471,FILUSDT,2,0.0,0.14510000000000023,2025-01-20 02:00:00,4.9701,-0.2867094458554471,stop_loss
