direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
LONG,24.95,,24.845,,TREND,33.2351,0.3007,35.0356,14.2518,4,BULLISH_BOS,True,,,0.33999999999999986,,,BOS,True,2025-02-20 18:30:00,ABOVE,0.37801313677087994,0.287289983945868,AVAXUSDT,7,0.30921052631578955,0.759999999999998,2025-02-21 01:00:00,24.845,-0.03969137936094255,stop_loss
LONG,18.977,,18.205,,TREND,30.802,0.1896,36.1582,7.4953,4,BULLISH_BOS,True,,,0.2920000000000016,,,BOS,True,2025-02-21 13:30:00,ABOVE,0.10577470145666171,0.08165806952454305,LINKUSDT,2,0.0,0.772000000000002,2025-02-21 15:00:00,18.205,-0.08165806952454305,stop_loss
SHORT,16.946,,14.985,,TREND,32.5724,0.195,10.293,42.8938,4,BEARISH_BOS,True,,,0.5,,,BOS,True,2025-02-24 03:30:00,BELOW,0.10289333451030269,0.08159441426666995,LINKUSDT,40,3.0643127364438887,0.7929999999999993,2025-02-25 19:00:00,14.985,0.2017738289747038,stop_loss
SHORT,3.062,,3.211,,TREND,39.0689,0.0555,10.5534,38.9961,4,BEARISH_BOS,True,,,0.1120000000000001,,,BOS,True,2025-02-26 18:30:00,BELOW,0.5414020123639285,0.08175170386695334,FILUSDT,7,0.06622516556291239,0.15100000000000025,2025-02-27 01:00:00,3.211,-0.08066889984222536,stop_loss
SHORT,2.1965,,2.2187,,TREND,34.1681,0.0446,10.157,35.7898,3,BEARISH_BOS,True,,,0.07790000000000008,,,BOS,True,2025-02-26 18:30:00,BELOW,2.073697768203657,0.22022670298322897,XRPUSDT,11,0.16290018832391756,0.1062000000000003,2025-02-27 05:00:00,2.2187,-0.04603609045412164,stop_loss
SHORT,603.05,,617.75,,TREND,33.3992,7.0179,12.3664,42.9008,4,BEARISH_BOS,True,,,16.75,,,BOS,True,2025-02-26 18:30:00,BELOW,0.014965986977931946,0.32700681546781335,BNBUSDT,12,0.0732265446224214,21.850000000000023,2025-02-27 06:00:00,617.75,-0.2200000085756003,stop_loss
SHORT,599.9,,579.05,,TREND,36.4245,5.0036,4.8537,36.4026,3,BEARISH_BOS,True,,,8.199999999999932,,,BOS,True,2025-02-27 20:30:00,BELOW,0.023858547919035987,0.21949864085513215,BNBUSDT,17,3.5815217391304097,9.200000000000045,2025-02-28 13:00:00,579.05,0.4974507241119009,stop_loss
SHORT,21.355,,21.445,,TREND,36.8641,0.4482,6.4542,41.753,4,BEARISH_BOS,True,,,1.120000000000001,,,BOS,True,2025-02-28 01:30:00,BELOW,0.19291193141794236,0.23921079495824824,AVAXUSDT,13,0.7096774193548389,1.2399999999999984,2025-02-28 14:00:00,21.445,-0.017362073827614784,stop_loss
SHORT,86877.6,,84350.0,,TREND,39.2786,1682.1286,7.919,41.9655,4,BEARISH_BOS,True,,,2243.199999999997,,,BOS,True,2025-03-03 19:30:00,BELOW,1.3045885610595693e-05,0.0889651123328962,BTCUSDT,19,0.6015338592838093,6819.399999999994,2025-03-04 14:00:00,84350.0,0.03297478046934175,stop_loss
LONG,91294.7,,89961.3,,TREND,35.3601,1195.4429,21.3979,15.0721,5,BULLISH_BOS,True,SWEEP_HIGH,,1038.7999999999884,,,BOS,True,2025-03-06 02:30:00,ABOVE,9.690470855701396e-05,0.12921273838992184,BTCUSDT,10,1.0470976451177465,1333.3999999999942,2025-03-06 12:00:00,89961.3,-0.12921273838992184,stop_loss
SHORT,3.9114,,3.9706,,TREND,31.655,0.09,12.3631,40.1603,4,BEARISH_BOS,True,,,0.18710000000000004,,,BOS,True,2025-03-10 18:30:00,BELOW,0.2308081163947416,0.07524344594468578,DOTUSDT,11,0.5567484662576679,0.32600000000000007,2025-03-11 05:00:00,3.9706,-0.013663840490568737,stop_loss
LONG,4.1426,,4.352,,TREND,31.6304,0.0476,40.3869,2.2945,3,BULLISH_BOS,True,,,0.05960000000000054,,,BOS,True,2025-03-14 10:30:00,ABOVE,0.42941578736250874,0.056425234459433725,DOTUSDT,33,1.9322678843226746,0.13140000000000018,2025-03-15 19:00:00,4.352,0.08991966587370953,stop_loss
SHORT,82479.2,,84380.0,,TREND,39.2979,359.2857,5.4215,53.8608,4,BEARISH_BOS,True,,,1358.0999999999913,,,BOS,True,2025-03-16 11:30:00,BELOW,4.042306509679586e-05,0.07683616213598969,BTCUSDT,5,0.0,1900.800000000003,2025-03-16 16:00:00,84380.0,-0.07683616213598969,stop_loss
SHORT,82389.9,,83749.3,,TREND,38.9091,772.6429,20.857,34.4523,4,BEARISH_BOS,True,,,760.2000000000116,,,BOS,True,2025-03-16 22:30:00,BELOW,2.795962563671784e-05,0.07677992796099102,BTCUSDT,14,0.0,2746.100000000006,2025-03-17 12:00:00,83749.3,-0.038008315090554474,stop_loss
LONG,4.4188,,4.3387,,TREND,34.7336,0.0679,35.2563,7.6955,4,BULLISH_BOS,True,,,0.06700000000000017,,,BOS,True,2025-03-17 01:30:00,ABOVE,0.5008475405152716,0.07677992796099102,DOTUSDT,11,0.08414872798434542,0.15329999999999977,2025-03-17 12:00:00,4.3387,-0.040117887995273174,stop_loss
LONG,4.4498,,4.4688,,TREND,33.9582,0.0528,33.2386,11.0479,4,BULLISH_BOS,True,,,0.08219999999999938,,,BOS,True,2025-03-18 22:30:00,ABOVE,0.36087840847676694,0.07672274964216069,DOTUSDT,19,0.47742238946378424,0.21260000000000012,2025-03-19 17:00:00,4.4688,0.006856689761058618,stop_loss
